[1/112] AAPL: 1254 rows, 2021-08-25 to 2026-08-24
[2/112] ABBV: 1254 rows, 2021-08-25 to 2026-08-24
[3/112] ABNB: 1254 rows, 2021-08-25 to 2026-08-24
[4/112] ADBE: 1254 rows, 2021-08-25 to 2026-08-24
[5/112] AMAT: 1254 rows, 2021-08-25 to 2026-08-24
[6/112] AMD: 1254 rows, 2021-08-25 to 2026-08-24
[7/112] AMZN: 1254 rows, 2021-08-25 to 2026-08-24
[8/112] ARKK: 1254 rows, 2021-08-25 to 2026-08-24
[9/112] AVGO: 1254 rows, 2021-08-25 to 2026-08-24
[10/112] AXP: 1254 rows, 2021-08-25 to 2026-08-24
[11/112] BA: 1254 rows, 2021-08-25 to 2026-08-24
[12/112] BAC: 1254 rows, 2021-08-25 to 2026-08-24
[13/112] BKNG: 1254 rows, 2021-08-25 to 2026-08-24
[14/112] BLK: 1254 rows, 2021-08-25 to 2026-08-24
[15/112] BMY: 1254 rows, 2021-08-25 to 2026-08-24
[16/112] C: 1254 rows, 2021-08-25 to 2026-08-24
[17/112] CAT: 1254 rows, 2021-08-25 to 2026-08-24
[18/112] CMCSA: 1254 rows, 2021-08-25 to 2026-08-24
[19/112] COIN: 1254 rows, 2021-08-25 to 2026-08-24
[20/112] COP: 1254 rows, 2021-08-25 to 2026-08-24
[21/112] COST: 1254 rows, 2021-08-25 to 2026-08-24
[22/112] CRM: 1254 rows, 2021-08-25 to 2026-08-24
[23/112] CRWD: 1254 rows, 2021-08-25 to 2026-08-24
[24/112] CVX: 1254 rows, 2021-08-25 to 2026-08-24
[25/112] DDOG: 1254 rows, 2021-08-25 to 2026-08-24
[26/112] DE: 1254 rows, 2021-08-25 to 2026-08-24
[27/112] DHR: 1254 rows, 2021-08-25 to 2026-08-24
[28/112] DIA: 1254 rows, 2021-08-25 to 2026-08-24
[29/112] DIS: 1254 rows, 2021-08-25 to 2026-08-24
[30/112] FDX: 1254 rows, 2021-08-25 to 2026-08-24
[31/112] GE: 1254 rows, 2021-08-25 to 2026-08-24
[32/112] GILD: 1254 rows, 2021-08-25 to 2026-08-24
[33/112] GLD: 1254 rows, 2021-08-25 to 2026-08-24
[34/112] GOOGL: 1254 rows, 2021-08-25 to 2026-08-24
[35/112] GS: 1254 rows, 2021-08-25 to 2026-08-24
[36/112] HD: 1254 rows, 2021-08-25 to 2026-08-24
[37/112] HON: 1254 rows, 2021-08-25 to 2026-08-24
[38/112] HOOD: 1254 rows, 2021-08-25 to 2026-08-24
[39/112] IBM: 1254 rows, 2021-08-25 to 2026-08-24
[40/112] INTC: 1254 rows, 2021-08-25 to 2026-08-24
[41/112] ISRG: 1254 rows, 2021-08-25 to 2026-08-24
[42/112] IWM: 1254 rows, 2021-08-25 to 2026-08-24
[43/112] JNJ: 1254 rows, 2021-08-25 to 2026-08-24
[44/112] JPM: 1254 rows, 2021-08-25 to 2026-08-24
[45/112] KLAC: 1254 rows, 2021-08-25 to 2026-08-24
[46/112] KO: 1254 rows, 2021-08-25 to 2026-08-24
[47/112] LLY: 1254 rows, 2021-08-25 to 2026-08-24
[48/112] LMT: 1254 rows, 2021-08-25 to 2026-08-24
[49/112] LOW: 1254 rows, 2021-08-25 to 2026-08-24
[50/112] LRCX: 1254 rows, 2021-08-25 to 2026-08-24
[51/112] LULU: 1254 rows, 2021-08-25 to 2026-08-24
[52/112] MA: 1254 rows, 2021-08-25 to 2026-08-24
[53/112] MCD: 1254 rows, 2021-08-25 to 2026-08-24
[54/112] META: 1254 rows, 2021-08-25 to 2026-08-24
[55/112] MPC: 1254 rows, 2021-08-25 to 2026-08-24
[56/112] MRK: 1254 rows, 2021-08-25 to 2026-08-24
[57/112] MRVL: 1254 rows, 2021-08-25 to 2026-08-24
[58/112] MS: 1254 rows, 2021-08-25 to 2026-08-24
[59/112] MSFT: 1254 rows, 2021-08-25 to 2026-08-24
[60/112] MU: 1254 rows, 2021-08-25 to 2026-08-24
[61/112] NET: 1254 rows, 2021-08-25 to 2026-08-24
[62/112] NFLX: 1254 rows, 2021-08-25 to 2026-08-24
[63/112] NKE: 1254 rows, 2021-08-25 to 2026-08-24
[64/112] NOW: 1254 rows, 2021-08-25 to 2026-08-24
[65/112] NVDA: 1254 rows, 2021-08-25 to 2026-08-24
[66/112] ORCL: 1254 rows, 2021-08-25 to 2026-08-24
[67/112] OXY: 1254 rows, 2021-08-25 to 2026-08-24
[68/112] PANW: 1254 rows, 2021-08-25 to 2026-08-24
[69/112] PEP: 1254 rows, 2021-08-25 to 2026-08-24
[70/112] PFE: 1254 rows, 2021-08-25 to 2026-08-24
[71/112] PG: 1254 rows, 2021-08-25 to 2026-08-24
[72/112] PLTR: 1254 rows, 2021-08-25 to 2026-08-24
[73/112] PYPL: 1254 rows, 2021-08-25 to 2026-08-24
[74/112] QCOM: 1254 rows, 2021-08-25 to 2026-08-24
[75/112] QQQ: 1254 rows, 2021-08-25 to 2026-08-24
[76/112] RBLX: 1254 rows, 2021-08-25 to 2026-08-24
[77/112] RCL: 1254 rows, 2021-08-25 to 2026-08-24
[78/112] RIVN: 1200 rows, 2021-11-10 to 2026-08-24
