alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1169,2026-08-25T13:30:27.241622+00:00,2026-08-25,SMCI,BREAKOUT,36.34,66.3,57.9,0.01,24.920730336150733,-36.26448307536887,PREFER-HIGH,2026-08-25T13:41:52.411527+00:00
1170,2026-08-25T13:42:31.672771+00:00,2026-08-25,PLTR,BREAKOUT,179.14,70.2,66.8,0.1,34.14288674202655,-13.843031996174918,PREFER-MID,2026-08-25T13:56:52.358118+00:00
1171,2026-08-25T13:45:26.639072+00:00,2026-08-25,NFLX,BREAKOUT,81.31,93.2,65.5,0.18,22.19869786376958,-35.55511131699085,PREFER-HIGH,2026-08-25T13:56:52.458029+00:00
1172,2026-08-25T13:45:35.984700+00:00,2026-08-25,UBER,BREAKOUT,79.81,84.4,64.0,0.15,15.451903162443728,-20.060940647196745,PREFER-HIGH,2026-08-25T13:56:52.551100+00:00
1173,2026-08-25T13:45:49.417663+00:00,2026-08-25,VRTX,BREAKOUT,549.92,83.8,67.3,0.08,33.91539818998402,-0.2843907059308558,PREFER-MID,2026-08-25T13:56:52.641677+00:00
1174,2026-08-25T13:48:19.993637+00:00,2026-08-25,ARKK,BREAKOUT,85.35,82.8,62.0,0.22,22.30222427748709,-7.856907747731465,PREFER-HIGH,2026-08-25T13:56:52.748245+00:00
1175,2026-08-25T13:57:28.483912+00:00,2026-08-25,XLV,BREAKOUT,174.97,89.1,68.9,0.3,29.970727539405065,-0.5293674377010924,PREFER-HIGH,2026-08-25T14:11:52.363570+00:00
1176,2026-08-25T14:06:34.053520+00:00,2026-08-25,DIS,BREAKOUT,110.74,91.5,70.2,0.14,27.72774044256902,-6.710702389662029,PREFER-HIGH,2026-08-25T14:11:52.619792+00:00
1177,2026-08-25T14:12:25.557435+00:00,2026-08-25,SOFI,BREAKOUT,18.6,69.1,55.1,0.33,15.372841593794952,-41.98975136131757,PREFER-HIGH,2026-08-25T14:26:52.539498+00:00
1178,2026-08-25T14:15:35.550851+00:00,2026-08-25,DHR,BREAKOUT,216.48,88.5,64.2,0.21,20.435103550026092,-10.787027589819296,PREFER-HIGH,2026-08-25T14:26:52.680518+00:00
1179,2026-08-25T14:18:35.725317+00:00,2026-08-25,GILD,BREAKOUT,146.91,88.5,67.9,0.29,34.270920740523124,-5.160467514401094,PREFER-MID,2026-08-25T14:26:52.793375+00:00
1180,2026-08-25T14:30:47.598030+00:00,2026-08-25,BLK,BREAKOUT,1173.82,79.4,64.1,0.2,31.109465000213078,-2.57027856442247,PREFER-MID,2026-08-25T14:41:52.425196+00:00
1181,2026-08-25T15:03:36.560979+00:00,2026-08-25,LLY,BREAKOUT,1258.96,81.3,59.7,0.3,22.27506079392264,-1.3324536434748575,PREFER-HIGH,2026-08-25T15:11:52.377998+00:00
1182,2026-08-25T15:12:48.947973+00:00,2026-08-25,MSFT,BREAKOUT,489.94,57.7,65.3,0.26,34.08463515445757,-9.80685205671483,PREFER-MID,2026-08-25T15:26:52.518410+00:00
1183,2026-08-25T15:36:35.274359+00:00,2026-08-25,GLD,BREAKOUT,426.94,89.7,72.6,1.17,29.585209873210655,-13.829398551390426,PREFER-HIGH,2026-08-25T15:41:52.482685+00:00
1184,2026-08-25T19:00:38.600743+00:00,2026-08-25,T,BREAKOUT,25.8,93.3,71.7,0.37,32.83291814837006,-12.879812376657426,PREFER-MID,2026-08-25T19:11:52.609034+00:00
1185,2026-08-26T13:35:24.561025+00:00,2026-08-26,ORCL,BREAKOUT,151.35,73.9,56.7,0.13,16.675495909194936,-54.32168631259656,PREFER-HIGH,2026-08-26T13:41:53.215326+00:00
1186,2026-08-26T13:35:36.098353+00:00,2026-08-26,BKNG,BREAKOUT,215.0,73.4,65.3,0.08,32.929265340210286,-7.254702750493444,PREFER-MID,2026-08-26T13:41:53.315796+00:00
1187,2026-08-26T13:35:45.562110+00:00,2026-08-26,MSFT,BREAKOUT,494.15,63.0,66.9,0.05,34.45435791253583,-8.814359424744758,PREFER-MID,2026-08-26T13:41:53.439716+00:00
1188,2026-08-26T13:41:22.639939+00:00,2026-08-26,DIA,BREAKOUT,535.6,56.2,56.6,0.27,14.75875094280687,-1.3651136084190083,PREFER-HIGH,2026-08-26T13:41:53.541129+00:00
1189,2026-08-26T13:50:24.351120+00:00,2026-08-26,DHR,BREAKOUT,216.31,84.2,64.1,0.07,21.19919241802668,-10.861395667613461,PREFER-HIGH,2026-08-26T13:56:53.314599+00:00
1190,2026-08-26T13:53:21.681474+00:00,2026-08-26,SOFI,BREAKOUT,19.23,88.5,59.0,0.27,15.886284612508451,-40.251470393519014,PREFER-HIGH,2026-08-26T13:56:53.403664+00:00
1191,2026-08-26T13:56:28.585837+00:00,2026-08-26,VZ,BREAKOUT,50.35,92.7,71.4,0.21,19.798529439695166,-1.9949425935590122,PREFER-HIGH,2026-08-26T13:56:53.519160+00:00
1192,2026-08-26T13:56:45.841484+00:00,2026-08-26,T,BREAKOUT,25.9,90.5,72.5,0.13,34.048194078615346,-12.559085466924664,PREFER-MID,2026-08-26T13:56:53.640967+00:00
1193,2026-08-26T13:56:53.309367+00:00,2026-08-26,FDX,BREAKOUT,337.47,83.6,63.4,0.11,27.57372710099574,0.0,PREFER-HIGH,2026-08-26T16:09:36.487979+00:00
1194,2026-08-26T14:05:39.210992+00:00,2026-08-26,SPY,BREAKOUT,766.86,50.5,55.1,0.17,15.51124046356036,-1.6313573252622682,PREFER-HIGH,2026-08-26T16:09:36.596015+00:00
1195,2026-08-26T14:23:24.622990+00:00,2026-08-26,SLB,BREAKOUT,53.84,72.4,59.8,0.43,24.50854630354275,-7.645229593029461,PREFER-HIGH,2026-08-26T16:09:36.725089+00:00
