dte_bucket,wing_step,structure,n,win_rate,avg_payoff_pct,median_payoff_pct,pooled_return,avg_entry_debit,avg_days_to_expiry
0DTE,2,long_butterfly,613,0.8221859706362153,0.33295603869330953,0.15827382039680762,0.19533732428686695,1.4640619902120717,0.0
0DTE,2,reverse_butterfly,613,0.17781402936378465,-0.33295603869330953,-0.15827382039680762,-0.19533732428686695,1.4640619902120717,0.0
0DTE,4,long_butterfly,618,0.7799352750809061,0.2902607328217645,0.07073701063772342,0.09517373014831969,3.412588996763754,0.0
0DTE,4,reverse_butterfly,618,0.22006472491909385,-0.2902607328217645,-0.07073701063772342,-0.09517373014831969,3.412588996763754,0.0
monthly,2,long_butterfly,1477,0.2863913337846987,0.6577549552186842,-1.0,-0.17411398754416194,1.7118483412322276,30.861882193635747
monthly,2,reverse_butterfly,1477,0.7136086662153013,-0.6577549552186842,1.0,0.17411398754416194,1.7118483412322276,30.861882193635747
monthly,4,long_butterfly,1229,0.38812042310821804,0.5748129115364475,-1.0,-0.008068863297240594,4.546883645240032,30.85272579332791
monthly,4,reverse_butterfly,1229,0.611879576891782,-0.5748129115364475,1.0,0.008068863297240594,4.546883645240032,30.85272579332791
weekly,2,long_butterfly,2112,0.2556818181818182,0.5597828141675288,-1.0,-0.31867734065881775,0.9270975378787878,9.758522727272727
weekly,2,reverse_butterfly,2112,0.7443181818181818,-0.5597828141675288,1.0,0.31867734065881775,0.9270975378787878,9.758522727272727
weekly,4,long_butterfly,1981,0.36951034830893487,0.2990403391152191,-0.7626846238556158,-0.13264019869044763,2.4536799596163554,9.740535083291267
weekly,4,reverse_butterfly,1981,0.6304896516910651,-0.2990403391152191,0.7626846238556158,0.13264019869044763,2.4536799596163554,9.740535083291267
