hold_bars,variant,n,mean_pct,median_pct,win_pct,baseline_n,baseline_mean_pct,welch_p
1,bare,25209,-0.0014,-0.0034,49.22,725370,0.0037,0.188786
1,downtrend,11619,-0.0076,-0.0038,49.13,725370,0.0037,0.052518
2,bare,25207,-0.002,-0.0018,49.5,725258,0.0074,0.061865
2,downtrend,11617,-0.0058,-0.0056,49.27,725258,0.0074,0.074587
4,bare,25193,-0.0023,-0.0116,48.94,725034,0.0147,0.010862
4,downtrend,11608,-0.0091,-0.0168,48.53,725034,0.0147,0.016016
8,bare,25181,0.0098,-0.0063,49.58,724586,0.0293,0.034044
8,downtrend,11600,0.0222,0.0,49.93,724586,0.0293,0.593106
13,bare,25161,0.0227,0.0024,50.04,724026,0.0475,0.032708
13,downtrend,11593,0.0471,0.0,49.95,724026,0.0475,0.983813
26,bare,25091,0.0801,0.0051,50.1,722570,0.0953,0.372408
26,downtrend,11542,0.1341,0.0341,50.83,722570,0.0953,0.117996
