hold_bars,ticker,n,mean_pct,win_pct
1,AAPL,91,0.0064,48.35
1,ABBV,118,0.028,50.85
1,ABNB,107,0.0464,52.34
1,ADBE,108,-0.0034,48.15
1,AMAT,99,-0.0548,49.49
1,AMD,90,-0.0436,48.89
1,AMZN,100,0.0157,55.0
1,ARKK,98,0.0335,45.92
1,AVGO,123,-0.0061,45.53
1,AXP,122,0.0053,46.72
1,BA,124,-0.0663,43.55
1,BAC,63,0.0382,52.38
1,BKNG,108,-0.1434,44.44
1,BLK,115,0.0465,51.3
1,BMY,75,-0.0357,52.0
1,C,81,0.0089,46.91
1,CAT,116,-0.0449,50.86
1,CMCSA,83,0.0497,51.81
1,COIN,145,0.0897,53.79
1,COP,92,0.0181,46.74
1,COST,119,0.0051,57.98
1,CRM,112,-0.0486,50.0
1,CRWD,118,0.086,54.24
1,CVX,89,0.0197,51.69
1,DDOG,136,-0.2691,46.32
1,DE,130,0.0477,51.54
1,DHR,123,-0.0234,49.59
1,DIA,116,0.001,49.14
1,DIS,103,-0.0424,50.49
1,FDX,97,0.0377,49.48
1,GE,117,-0.0582,42.74
1,GILD,105,0.0658,59.05
1,GLD,103,-0.0137,50.49
1,GOOGL,103,-0.0795,45.63
1,GS,95,-0.0479,49.47
1,HD,116,0.0086,52.59
1,HON,114,-0.0169,48.25
1,HOOD,131,0.061,54.96
1,IBM,93,-0.001,46.24
1,INTC,108,0.1284,49.07
1,ISRG,124,0.0005,48.39
1,IWM,86,-0.0153,50.0
1,JNJ,90,-0.0261,44.44
1,JPM,94,-0.0226,50.0
1,KLAC,108,-0.0834,45.37
1,KO,91,-0.001,46.15
1,LLY,130,-0.012,45.38
1,LMT,120,0.0097,52.5
1,LOW,134,-0.0187,50.0
1,LRCX,96,-0.1454,38.54
1,LULU,116,0.0406,55.17
1,MA,123,-0.0879,47.97
1,MCD,117,0.0035,51.28
1,META,115,0.022,53.91
1,MPC,108,-0.0165,50.0
1,MRK,83,-0.0287,46.99
1,MRVL,96,0.0402,48.96
1,MS,114,-0.0093,50.88
1,MSFT,103,-0.037,49.51
1,MU,99,-0.0924,50.51
1,NET,111,0.0495,46.85
1,NFLX,89,0.0387,58.43
1,NKE,108,-0.022,52.78
1,NOW,92,0.0042,48.91
1,NVDA,119,-0.0442,44.54
1,ORCL,127,-0.0575,39.37
1,OXY,87,0.0678,45.98
1,PANW,92,-0.0615,54.35
1,PEP,106,-0.0243,44.34
1,PFE,81,0.013,44.44
1,PG,116,-0.0383,49.14
1,PLTR,110,-0.0256,58.18
1,PYPL,98,-0.0853,44.9
1,QCOM,98,-0.0025,48.98
1,QQQ,104,-0.0033,50.0
1,RBLX,124,-0.0022,44.35
1,RCL,123,0.1056,48.78
1,RIVN,85,-0.0305,50.59
1,ROKU,102,0.0307,46.08
1,RTX,115,-0.0434,45.22
1,SBUX,100,0.059,53.0
1,SCHW,85,-0.0053,49.41
1,SLB,77,0.0171,49.35
1,SMCI,79,0.0142,49.37
1,SNOW,93,-0.0767,40.86
1,SOFI,106,-0.0982,45.28
1,SPY,101,0.0184,48.51
1,T,79,-0.02,46.84
1,TFC,85,0.0125,57.65
1,TGT,126,-0.0232,46.83
1,TLT,92,-0.005,40.22
1,TMO,104,0.0701,55.77
1,TSLA,129,0.0002,43.41
1,TXN,125,-0.0199,45.6
1,UAL,98,0.0041,56.12
1,UBER,98,0.0198,53.06
1,UNH,106,0.0353,57.55
1,UPS,88,0.0432,46.59
1,V,121,-0.0122,48.76
1,VLO,112,-0.0556,44.64
1,VRTX,109,-0.0073,43.12
1,VZ,86,0.0615,53.49
1,WFC,94,0.0291,48.94
1,WMT,106,0.004,50.94
1,XLE,77,-0.0213,45.45
1,XLF,61,0.0049,54.1
1,XLI,71,0.0207,47.89
1,XLK,70,-0.174,38.57
1,XLV,112,0.0136,50.89
1,XOM,74,-0.018,50.0
1,XYZ,111,0.0792,54.05
1,ZS,124,-0.0324,50.0
2,AAPL,91,0.043,51.65
2,ABBV,118,0.0787,54.24
2,ABNB,107,0.1181,56.07
2,ADBE,108,-0.0096,50.93
2,AMAT,99,-0.011,53.54
2,AMD,90,-0.0921,46.67
2,AMZN,100,-0.0889,54.0
2,ARKK,98,-0.0127,51.02
2,AVGO,123,-0.0732,43.9
2,AXP,122,0.057,47.54
2,BA,124,-0.1014,41.94
2,BAC,63,0.0374,57.14
2,BKNG,108,-0.0873,47.22
2,BLK,115,0.0714,52.17
2,BMY,75,-0.0127,50.67
2,C,81,-0.0012,48.15
2,CAT,116,-0.0266,48.28
2,CMCSA,83,-0.006,49.4
2,COIN,145,0.1552,46.9
2,COP,92,-0.0339,47.83
2,COST,119,-0.0105,53.78
2,CRM,112,-0.0082,45.54
2,CRWD,118,0.0185,59.32
2,CVX,89,0.0234,53.93
2,DDOG,136,-0.3969,38.24
2,DE,130,0.1221,51.54
2,DHR,123,-0.0534,49.59
2,DIA,116,0.0131,50.0
2,DIS,103,-0.0383,52.43
2,FDX,97,0.05,51.55
2,GE,117,0.0034,49.57
2,GILD,105,0.0532,55.24
2,GLD,103,0.0108,50.49
2,GOOGL,103,-0.0867,44.66
2,GS,95,-0.0161,47.37
2,HD,116,-0.0262,52.59
2,HON,114,-0.0016,48.25
2,HOOD,131,0.1057,51.15
2,IBM,93,-0.0095,50.54
2,INTC,108,0.1673,53.7
