ticker,week_open,week_close,week_high,week_low,week_pct_change,dp_total_premium,dp_n_prints
SPY,764.78,769.35,775.3,762.08,0.6,20374193953.0,2500
NVDA,215.53,217.55,230.47,207.25,0.94,19285463645.0,2500
QQQ,709.66,716.43,724.13,702.7,0.95,12841911265.0,2500
MSFT,483.21,513.53,517.78,481.86,6.27,11767094124.0,2500
GOOGL,343.62,346.59,351.6,338.52,0.86,9648107556.0,2500
AAPL,311.47,319.7,322.37,308.21,2.64,8942985122.0,2500
MU,934.78,932.86,968.71,887.61,-0.21,8889844338.0,2500
AMZN,259.6,266.43,267.56,255.02,2.63,4832702427.0,2500
META,550.2,578.02,593.34,546.3,5.06,4645813346.0,2500
GLD,428.55,408.89,429.42,407.62,-4.59,4542441739.0,2500
TSLA,361.41,348.75,363.24,342.53,-3.5,4520896611.0,2500
PLTR,177.39,186.29,188.37,168.9,5.02,4433029105.0,2500
AMD,468.54,465.58,491.12,451.0,-0.63,4393931701.0,2500
AVGO,364.97,368.79,376.59,350.06,1.05,4354351025.0,2500
AMAT,481.88,482.36,492.3,471.0,0.1,3732382426.0,2500
PEP,144.91,139.72,145.9,139.68,-3.58,1927083213.0,1228
QCOM,159.4,164.78,166.95,156.23,3.38,3507146673.0,1621
C,131.39,132.68,133.96,131.01,0.98,1823482478.0,1207
BLK,1158.84,1167.57,1187.17,1156.57,0.75,1064866330.0,1697
HD,335.88,328.61,342.22,327.88,-2.16,1915348467.0,1668
TGT,166.06,165.93,170.75,161.2,-0.08,1114546933.0,1552
XOM,163.87,156.44,165.22,156.14,-4.53,3073119070.0,2500
SCHW,112.89,108.05,114.53,106.34,-4.29,1026606501.0,1649
PYPL,61.62,53.66,62.38,52.62,-12.92,794637159.0,1087
JNJ,268.42,265.77,273.8,263.83,-0.99,2145174033.0,2447
BAC,61.74,61.17,62.76,61.1,-0.92,2127320667.0,2421
COST,953.01,934.66,974.49,933.25,-1.93,1962003051.0,2346
LOW,217.33,206.74,219.82,205.78,-4.87,685615990.0,897
RTX,210.0,212.08,213.1,207.44,0.99,1053687383.0,1283
