date,ticker
2026-05-11,INTC
2026-05-11,SNDK
2026-05-11,MU
2026-05-11,MRNA
2026-05-11,TECH
2026-05-11,RDDT
2026-05-11,APP
2026-05-11,TTD
2026-05-11,AXON
2026-05-11,ALB
2026-05-12,QCOM
2026-05-12,SNDK
2026-05-12,LITE
2026-05-12,MRNA
2026-05-12,COIN
2026-05-12,VRT
2026-05-12,TTD
2026-05-12,HOOD
2026-05-12,TECH
2026-05-12,CHTR
2026-05-13,QCOM
2026-05-13,INTC
2026-05-13,FLEX
2026-05-13,COIN
2026-05-13,VRT
2026-05-13,TTD
2026-05-13,MRNA
2026-05-13,HUM
2026-05-13,CEG
2026-05-13,FCX
2026-05-14,AKAM
2026-05-14,INTC
2026-05-14,QCOM
2026-05-14,MRNA
2026-05-14,ALB
2026-05-14,TECH
2026-05-14,J
2026-05-14,RDDT
2026-05-14,CHTR
2026-05-14,VST
2026-05-15,MU
2026-05-15,GLW
2026-05-15,AMD
2026-05-15,COIN
2026-05-15,ALB
2026-05-15,HOOD
2026-05-15,VRT
2026-05-15,MRNA
2026-05-15,APP
2026-05-15,F
2026-05-18,SNDK
2026-05-18,LITE
2026-05-18,DDOG
2026-05-18,COIN
2026-05-18,TECH
2026-05-18,APP
2026-05-18,MRNA
2026-05-18,F
2026-05-18,HUM
2026-05-18,TTD
2026-05-19,FLEX
2026-05-19,SNDK
2026-05-19,MU
2026-05-19,VRT
2026-05-19,FIX
2026-05-19,ALB
2026-05-19,MRNA
2026-05-19,GNRC
2026-05-19,FDS
2026-05-19,TTD
2026-05-20,MU
2026-05-20,INTC
2026-05-20,SNDK
2026-05-20,FIX
2026-05-20,MRNA
2026-05-20,FDS
2026-05-20,TTD
2026-05-20,VRT
2026-05-20,PWR
2026-05-20,EL
2026-05-21,SMCI
2026-05-21,NOW
2026-05-21,MRVL
2026-05-21,RDDT
2026-05-21,DASH
2026-05-21,VRT
2026-05-21,ECHO
2026-05-21,AXON
2026-05-21,MRNA
2026-05-21,CCL
2026-05-22,SNDK
2026-05-22,DDOG
2026-05-22,GLW
2026-05-22,ECHO
2026-05-22,RDDT
2026-05-22,NCLH
2026-05-22,F
2026-05-22,VRT
2026-05-22,ALB
2026-05-22,VST
2026-05-26,DELL
2026-05-26,QCOM
2026-05-26,SNDK
2026-05-26,ECHO
2026-05-26,VRT
2026-05-26,TTD
2026-05-26,F
2026-05-26,APP
2026-05-26,FDS
2026-05-26,NCLH
2026-05-27,MU
2026-05-27,SNDK
2026-05-27,QCOM
2026-05-27,COIN
2026-05-27,NCLH
2026-05-27,F
2026-05-27,APA
2026-05-27,RCL
2026-05-27,UAL
2026-05-27,APP
2026-05-28,QCOM
2026-05-28,APP
2026-05-28,DELL
2026-05-28,HPQ
2026-05-28,NCLH
2026-05-28,UAL
2026-05-28,COIN
2026-05-28,CEG
2026-05-28,BLDR
2026-05-28,TTD
2026-05-29,SMCI
2026-05-29,QCOM
2026-05-29,SNDK
2026-05-29,F
2026-05-29,ECHO
2026-05-29,DLTR
2026-05-29,HOOD
2026-05-29,NCLH
2026-05-29,COIN
2026-05-29,APP
2026-06-01,NOW
2026-06-01,HOOD
2026-06-01,MU
2026-06-01,WDAY
2026-06-01,RDDT
2026-06-01,COIN
2026-06-01,AXON
2026-06-01,VEEV
2026-06-01,NCLH
2026-06-01,CF
2026-06-02,MRVL
2026-06-02,HPE
2026-06-02,SMCI
2026-06-02,AXON
2026-06-02,FDS
2026-06-02,TTD
2026-06-02,DLTR
2026-06-02,HOOD
2026-06-02,CVNA
2026-06-02,RDDT
2026-06-03,MRVL
2026-06-03,HPE
2026-06-03,COHR
2026-06-03,AXON
2026-06-03,APP
2026-06-03,CVNA
2026-06-03,RDDT
2026-06-03,HOOD
2026-06-03,F
2026-06-03,FDS
2026-06-04,MRVL
2026-06-04,DELL
2026-06-04,HPE
2026-06-04,DLTR
2026-06-04,VRT
2026-06-04,FDS
2026-06-04,CHTR
2026-06-04,TTD
2026-06-04,VEEV
2026-06-04,GPN
2026-06-05,MRVL
2026-06-05,DELL
2026-06-05,SMCI
2026-06-05,APP
2026-06-05,ECHO
2026-06-05,AXON
2026-06-05,HOOD
2026-06-05,RDDT
2026-06-05,MRNA
2026-06-05,FIX
2026-06-08,MRVL
2026-06-08,HPE
2026-06-08,SMCI
2026-06-08,HOOD
2026-06-08,TTD
2026-06-08,AXON
2026-06-08,ECHO
2026-06-08,VRT
2026-06-08,COIN
2026-06-08,RDDT
2026-06-09,MRVL
2026-06-09,NOW
2026-06-09,MU
2026-06-09,COIN
2026-06-09,CVNA
2026-06-09,RDDT
2026-06-09,ECHO
2026-06-09,VEEV
2026-06-09,TTD
2026-06-09,ALB
2026-06-10,MRVL
2026-06-10,SMCI
2026-06-10,MU
2026-06-10,APP
2026-06-10,TTD
2026-06-10,VRT
2026-06-10,RDDT
2026-06-10,AXON
2026-06-10,APTV
2026-06-10,NCLH
2026-06-11,MRVL
2026-06-11,HPE
2026-06-11,TER
2026-06-11,GNRC
2026-06-11,APP
2026-06-11,ECHO
2026-06-11,HOOD
2026-06-11,RDDT
2026-06-11,VST
2026-06-11,GEV
2026-06-12,MRVL
2026-06-12,DELL
2026-06-12,KLAC
2026-06-12,ECHO
2026-06-12,GNRC
2026-06-12,VRT
2026-06-12,APTV
2026-06-12,UAL
2026-06-12,HOOD
2026-06-12,FCX
2026-06-15,SNDK
2026-06-15,MRVL
2026-06-15,TER
2026-06-15,RDDT
2026-06-15,HOOD
2026-06-15,APP
2026-06-15,CVNA
2026-06-15,ECHO
2026-06-15,FCX
2026-06-15,UAL
2026-06-16,MRVL
2026-06-16,WDC
2026-06-16,MU
2026-06-16,HOOD
2026-06-16,CVNA
2026-06-16,DLTR
2026-06-16,NCLH
2026-06-16,FOXA
2026-06-16,MOS
2026-06-16,FISV
2026-06-17,SNDK
2026-06-17,MRVL
2026-06-17,MU
2026-06-17,MRNA
2026-06-17,HOOD
2026-06-17,FIX
2026-06-17,VRT
2026-06-17,ECHO
2026-06-17,AXON
2026-06-17,COIN
2026-06-18,SNDK
2026-06-18,WDC
2026-06-18,HOOD
2026-06-18,MRNA
2026-06-18,TER
2026-06-18,VRT
2026-06-18,CVNA
2026-06-18,RDDT
2026-06-18,GEV
2026-06-18,FDS
2026-06-22,SNDK
2026-06-22,WDC
2026-06-22,MU
2026-06-22,GNRC
2026-06-22,RDDT
2026-06-22,ECHO
2026-06-22,DASH
2026-06-22,APP
2026-06-22,VRT
2026-06-22,NEM
2026-06-23,WDC
2026-06-23,COHR
2026-06-23,MRVL
2026-06-23,HOOD
2026-06-23,VRT
2026-06-23,GNRC
2026-06-23,FIX
2026-06-23,ALB
2026-06-23,MRNA
2026-06-23,ECHO
2026-06-24,MU
2026-06-24,SNDK
2026-06-24,DELL
2026-06-24,VRT
2026-06-24,CCL
2026-06-24,HOOD
2026-06-24,MRNA
2026-06-24,ECHO
2026-06-24,FCX
2026-06-24,LULU
2026-06-25,GLW
2026-06-25,WDC
2026-06-25,SNDK
2026-06-25,GNRC
2026-06-25,VRT
2026-06-25,HOOD
2026-06-25,BLDR
2026-06-25,TECH
2026-06-25,APP
2026-06-25,FCX
2026-06-26,SNDK
2026-06-26,AMAT
2026-06-26,TER
2026-06-26,COIN
2026-06-26,ECHO
2026-06-26,VRT
2026-06-26,BLDR
2026-06-26,GNRC
2026-06-26,ALB
2026-06-26,CVNA
2026-06-29,WDC
2026-06-29,HOOD
2026-06-29,GLW
2026-06-29,MRNA
2026-06-29,STX
2026-06-29,AXON
2026-06-29,CVNA
2026-06-29,ECHO
2026-06-29,COIN
2026-06-29,FIX
2026-06-30,GLW
2026-06-30,WDC
2026-06-30,SNDK
2026-06-30,AXON
2026-06-30,CHTR
2026-06-30,ALB
2026-06-30,GEV
2026-06-30,RDDT
2026-06-30,ECHO
2026-06-30,COIN
2026-07-01,KLAC
2026-07-01,SNDK
2026-07-01,AMAT
2026-07-01,AXON
2026-07-01,VRT
2026-07-01,GEV
2026-07-01,APP
2026-07-01,FOXA
2026-07-01,DASH
2026-07-01,CHTR
2026-07-02,MRNA
2026-07-02,HOOD
2026-07-02,RDDT
2026-07-02,APP
2026-07-02,GLW
2026-07-02,COIN
2026-07-02,AXON
2026-07-02,FDS
2026-07-02,INTC
2026-07-02,PLTR
2026-07-06,MRNA
2026-07-06,SNDK
2026-07-06,AMAT
2026-07-06,WDC
2026-07-06,APP
2026-07-06,VRT
2026-07-06,FIX
2026-07-06,GNRC
2026-07-06,RDDT
2026-07-06,COIN
2026-07-07,AXON
2026-07-07,SNDK
2026-07-07,AMAT
2026-07-07,GLW
2026-07-07,HOOD
2026-07-07,VRT
2026-07-07,GEV
2026-07-07,COIN
2026-07-07,CSGP
2026-07-07,DASH
2026-07-08,MRNA
2026-07-08,HOOD
2026-07-08,MU
2026-07-08,INTC
2026-07-08,BLDR
2026-07-08,COIN
2026-07-08,AXON
2026-07-08,CVNA
2026-07-08,MRVL
2026-07-08,FIX
2026-07-09,AXON
2026-07-09,AMAT
2026-07-09,ANET
2026-07-09,MU
2026-07-09,VRT
2026-07-09,HOOD
2026-07-09,FDS
2026-07-09,FIX
2026-07-09,CHTR
2026-07-09,SW
2026-07-10,HOOD
2026-07-10,WDAY
2026-07-10,RDDT
2026-07-10,AMAT
2026-07-10,LRCX
2026-07-10,APP
2026-07-10,TTD
2026-07-10,VRT
2026-07-10,ARES
2026-07-10,FIX
2026-07-13,MRNA
2026-07-13,SNDK
2026-07-13,AMD
2026-07-13,STX
2026-07-13,APP
2026-07-13,RDDT
2026-07-13,COIN
2026-07-13,TTD
2026-07-13,AXON
2026-07-13,VRT
2026-07-14,AXON
2026-07-14,WDAY
2026-07-14,FDS
2026-07-14,INTU
2026-07-14,NOW
2026-07-14,GEV
2026-07-14,VRT
2026-07-14,APP
2026-07-14,TTD
2026-07-14,CVNA
2026-07-15,AXON
2026-07-15,AMAT
2026-07-15,WDAY
2026-07-15,KLAC
2026-07-15,CVNA
2026-07-15,HOOD
2026-07-15,RDDT
2026-07-15,COIN
2026-07-15,CSGP
2026-07-15,FISV
2026-07-16,GLW
2026-07-16,LITE
2026-07-16,WDC
2026-07-16,FIX
2026-07-16,MRNA
2026-07-16,ERIE
2026-07-16,CAT
2026-07-16,FDS
2026-07-16,AXON
2026-07-16,COIN
2026-07-17,HOOD
2026-07-17,GLW
2026-07-17,DELL
2026-07-17,MRNA
2026-07-17,LITE
2026-07-17,APP
2026-07-17,RDDT
2026-07-17,VRT
2026-07-17,COIN
2026-07-17,CVNA
2026-07-20,LITE
2026-07-20,AMD
2026-07-20,STX
2026-07-20,AXON
2026-07-20,VRT
2026-07-20,GEV
2026-07-20,HOOD
2026-07-20,FDS
2026-07-20,CSGP
2026-07-20,APP
2026-07-21,AMAT
2026-07-21,KLAC
2026-07-21,LRCX
2026-07-21,HOOD
2026-07-21,COIN
2026-07-21,VRT
2026-07-21,CAT
2026-07-21,GNRC
2026-07-21,FDS
2026-07-21,CSGP
2026-07-22,COIN
2026-07-22,LITE
2026-07-22,TER
2026-07-22,RDDT
2026-07-22,SNDK
2026-07-22,HOOD
2026-07-22,CVNA
2026-07-22,GEV
2026-07-22,GPC
2026-07-22,VRT
2026-07-23,WDAY
2026-07-23,MPWR
2026-07-23,NOW
2026-07-23,FCX
2026-07-23,META
2026-07-23,RDDT
2026-07-23,AXON
2026-07-23,COIN
2026-07-23,CVNA
2026-07-23,MRNA
2026-07-24,SMCI
2026-07-24,TER
2026-07-24,LITE
2026-07-24,AXON
2026-07-24,FCX
2026-07-24,TTD
2026-07-24,VEEV
2026-07-24,ROL
2026-07-24,DECK
2026-07-24,CHTR
2026-07-27,WDAY
2026-07-27,SMCI
2026-07-27,NOW
2026-07-27,HOOD
2026-07-27,SW
2026-07-27,TTD
2026-07-27,CHTR
2026-07-27,EFX
2026-07-27,COIN
2026-07-27,RDDT
2026-07-28,SMCI
2026-07-28,DELL
2026-07-28,LITE
2026-07-28,COIN
2026-07-28,GEV
2026-07-28,CSGP
2026-07-28,VRT
2026-07-28,HOOD
2026-07-28,FCX
2026-07-28,ISRG
2026-07-29,STX
2026-07-29,CTSH
2026-07-29,FLEX
2026-07-29,CSGP
2026-07-29,CHTR
2026-07-29,VRT
2026-07-29,NCLH
2026-07-29,ERIE
2026-07-29,TTD
2026-07-29,FIX
2026-07-30,WDAY
2026-07-30,TER
2026-07-30,NOW
2026-07-30,FIX
2026-07-30,CSGP
2026-07-30,VRT
2026-07-30,CHTR
2026-07-30,GEV
2026-07-30,ERIE
2026-07-30,CVNA
2026-07-31,LITE
2026-07-31,MU
2026-07-31,WDC
2026-07-31,VRT
2026-07-31,CSGP
2026-07-31,ERIE
2026-07-31,GEV
2026-07-31,EFX
2026-07-31,RDDT
2026-07-31,COIN
2026-08-03,WDAY
2026-08-03,WDC
2026-08-03,LITE
2026-08-03,BAX
2026-08-03,FIX
2026-08-03,AXON
2026-08-03,CMG
2026-08-03,DXCM
2026-08-03,CHTR
2026-08-03,VRT
2026-08-04,LITE
2026-08-04,COHR
2026-08-04,TER
2026-08-04,VRT
2026-08-04,ETN
2026-08-04,PWR
2026-08-04,CVNA
2026-08-04,BAX
2026-08-04,HOOD
2026-08-04,ERIE
2026-08-05,IT
2026-08-05,SNDK
2026-08-05,AMD
2026-08-05,AXON
2026-08-05,ECHO
2026-08-05,NRG
2026-08-05,FDS
2026-08-05,CMG
2026-08-05,BLDR
2026-08-05,EXPE
2026-08-06,COHR
2026-08-06,WDC
2026-08-06,SNDK
2026-08-06,VRT
2026-08-06,RDDT
2026-08-06,APP
2026-08-06,AXON
2026-08-06,BLDR
2026-08-06,PODD
2026-08-06,MRNA
2026-08-07,COHR
2026-08-07,LITE
2026-08-07,MRVL
2026-08-07,VRT
2026-08-07,TTD
2026-08-07,MRNA
2026-08-07,EXPE
2026-08-07,COIN
2026-08-07,CHTR
2026-08-07,GNRC
2026-08-10,COHR
2026-08-10,LITE
2026-08-10,SMCI
2026-08-10,VRT
2026-08-10,TTD
2026-08-10,MRNA
2026-08-10,BAX
2026-08-10,TPL
