ticker,date,entry_minute,entry_px,ret_pct,spread_pct
SNDK,2026-04-28,5,1037.9,0.0019269679159883424,0.154700110430574
COHR,2026-04-28,5,308.0,-0.0055844155844142485,0.15094834941262597
INTC,2026-04-28,0,82.05,0.2622059719683101,0.024606299212611014
COIN,2026-04-28,2,191.59,0.11775144840544538,0.06353912951391302
ALB,2026-04-28,12,195.42,-0.14893050864802637,0.5970456534047025
HOOD,2026-04-28,7,82.08,-0.017616959064326032,0.061293288384918376
SNDK,2026-04-29,0,1076.57,0.02248437166185724,0.11208668036615409
LITE,2026-04-29,5,830.23,0.3721884297122502,0.25214229595659376
INTC,2026-04-29,0,87.27,-0.19999999999998908,0.09289363678587818
HOOD,2026-04-29,0,72.77,0.3897210388896566,0.2350826246283644
ARE,2026-04-29,0,40.42,-0.0024740227610231535,0.37336652146857147
TER,2026-04-30,0,335.01,0.36005492373361037,1.5220048899755558
FICO,2026-04-30,4,1019.94,0.39296429201716165,0.6071961764676358
CSGP,2026-04-30,1,34.1,0.09266862170089762,0.4760487950014775
PODD,2026-04-30,1,165.71,1.4381389173858006,1.5038509543669512
NCLH,2026-04-30,2,18.28,-0.09080962800875891,0.2199010445299568
FCX,2026-04-30,1,58.24,-0.13145604395604638,0.37891836031691156
COIN,2026-05-01,0,192.56,-0.16372039883671974,0.17735120755307676
SNDK,2026-05-01,2,1073.87,0.5499846350117021,0.16526974383189705
FICO,2026-05-01,5,1057.11,0.35606512094294995,1.9038004580930574
HOOD,2026-05-01,6,74.28,-0.07907915993538017,0.06759954032312196
GLW,2026-05-01,13,163.19,0.2770145229487042,0.2583343584696688
CHTR,2026-05-01,0,169.0,0.3314792899408392,1.2048192771084338
CSGP,2026-05-01,0,35.86,0.4401003904071388,2.8460543337645596
IP,2026-05-01,0,31.44,0.5935750636132386,1.5829429817476932
LITE,2026-05-04,0,991.73,0.12906738729290268,0.44624561723055334
SNDK,2026-05-04,1,1235.53,0.06413442004646885,0.17191273382177635
MU,2026-05-04,0,564.99,0.11795253013326956,0.04993401576487726
