ticker,n,win_rate,avg_skew_ratio,pct_empirical_skew,sum_net_credit,sum_max_risk,max_move_bound
AAPL,5,0.8,0.5,1.0,10.16,34.839999999999996,0.12
ADBE,8,0.625,1.946919544918538,1.0,36.53,120.97,0.12
AMD,5,0.6,1.033915013732709,1.0,19.43,50.57,0.12
AMZN,7,0.5714285714285714,0.8516383085936897,1.0,17.11,45.39,0.12
AVGO,7,0.7142857142857143,1.8923983459925162,1.0,25.77,89.23,0.12
AXP,8,0.75,0.5,1.0,17.65,52.35,0.12
BA,4,1.0,2.0,1.0,6.97,20.53,0.12
BABA,2,1.0,1.0140987088134166,1.0,2.23,5.27,0.12
CAT,8,0.75,1.2795473102912733,1.0,38.33,96.67,0.12
COIN,7,0.5714285714285714,0.5322992763192234,1.0,20.35,72.15,0.12
COST,6,0.8333333333333334,1.822186521785022,1.0,29.39,90.61,0.12
CRM,8,0.875,1.2214862480874935,1.0,25.16,77.34,0.12
DE,8,0.375,0.8380415479262164,1.0,34.62,85.38,0.12
F,1,1.0,1.7492366656010678,1.0,0.3,0.7,0.12
GOOGL,7,0.8571428571428571,0.9756381793829929,1.0,15.940000000000001,41.56,0.12
GS,6,0.5,0.6800307245054134,1.0,27.560000000000002,72.44,0.12
HD,8,0.875,1.1973063037684597,1.0,18.509999999999998,51.49,0.12
HON,6,0.3333333333333333,1.4163608267545758,1.0,8.56,21.44,0.12
INTC,5,1.0,1.0888622742276985,1.0,1.8199999999999998,4.18,0.12
ISRG,8,0.625,0.5,1.0,39.39,130.61,0.12
JD,8,0.875,1.148560568545567,1.0,2.85,7.1499999999999995,0.12
JNJ,2,1.0,0.5036299684961627,1.0,2.49,5.01,0.12
JPM,7,0.8571428571428571,1.3659046008914681,1.0,15.14,44.86,0.12
LLY,8,0.5,0.6258348621367572,1.0,71.24,218.76,0.12
LOW,5,0.8,1.879198940085176,1.0,7.2299999999999995,17.77,0.12
MA,4,0.5,0.6440707931136374,1.0,10.06,29.939999999999998,0.12
MCD,6,1.0,0.5,1.0,9.98,25.02,0.12
META,8,0.625,0.5972517190729576,1.0,59.94,185.06,0.12
MS,3,0.3333333333333333,1.6811577736726626,1.0,3.33,11.67,0.12
MSFT,8,0.5,0.8285575251023007,1.0,30.47,74.53,0.12
MU,4,0.5,0.5,1.0,28.83,98.67,0.12
NFLX,5,0.6,0.7661116534542044,1.0,52.269999999999996,147.73000000000002,0.12
NKE,4,0.75,1.0573338079459946,1.0,2.74,6.76,0.12
NOW,5,0.6,0.7122786343108838,1.0,55.959999999999994,154.04000000000002,0.12
NVDA,4,1.0,0.6884034664413969,1.0,7.58,24.92,0.12
PFE,1,1.0,0.76751451179709,1.0,0.3,0.7,0.12
PLTR,1,1.0,0.5900656001486235,1.0,2.97,7.029999999999999,0.12
QCOM,3,1.0,0.531923007702118,1.0,6.2,16.3,0.12
ROST,4,0.25,0.6902655333306067,1.0,9.47,30.53,0.12
SHOP,1,1.0,0.8754263640715365,1.0,1.82,3.1799999999999997,0.12
SLB,1,1.0,0.6411827756984767,1.0,0.43,0.5700000000000001,0.12
TSLA,8,0.625,1.3636425624085404,1.0,28.02,81.98,0.12
UNH,8,0.5,0.9153588477846739,1.0,28.66,86.34,0.12
V,6,0.8333333333333334,0.5,1.0,12.959999999999999,42.04,0.12
AAPL,5,0.8,0.5,1.0,10.16,34.839999999999996,0.25
ADBE,8,0.625,1.946919544918538,1.0,36.53,120.97,0.25
AMD,5,0.6,1.033915013732709,1.0,19.43,50.57,0.25
AMZN,7,0.5714285714285714,0.8516383085936897,1.0,17.11,45.39,0.25
AVGO,7,0.7142857142857143,1.8923983459925162,1.0,25.77,89.23,0.25
AXP,8,0.75,0.5,1.0,17.65,52.35,0.25
BA,4,1.0,2.0,1.0,6.97,20.53,0.25
BABA,2,1.0,1.0140987088134166,1.0,2.23,5.27,0.25
CAT,8,0.75,1.2795473102912733,1.0,38.33,96.67,0.25
COIN,7,0.5714285714285714,0.5322992763192234,1.0,20.35,72.15,0.25
COST,6,0.8333333333333334,1.822186521785022,1.0,29.39,90.61,0.25
CRM,8,0.875,1.2214862480874935,1.0,25.16,77.34,0.25
DE,8,0.375,0.8380415479262164,1.0,34.62,85.38,0.25
F,1,1.0,1.7492366656010678,1.0,0.3,0.7,0.25
GOOGL,7,0.8571428571428571,0.9756381793829929,1.0,15.940000000000001,41.56,0.25
GS,6,0.5,0.6800307245054134,1.0,27.560000000000002,72.44,0.25
HD,8,0.875,1.1973063037684597,1.0,18.509999999999998,51.49,0.25
HON,6,0.3333333333333333,1.4163608267545758,1.0,8.56,21.44,0.25
INTC,5,1.0,1.0888622742276985,1.0,1.8199999999999998,4.18,0.25
ISRG,8,0.625,0.5,1.0,39.39,130.61,0.25
JD,8,0.875,1.148560568545567,1.0,2.85,7.1499999999999995,0.25
JNJ,2,1.0,0.5036299684961627,1.0,2.49,5.01,0.25
JPM,7,0.8571428571428571,1.3659046008914681,1.0,15.14,44.86,0.25
LLY,8,0.5,0.6258348621367572,1.0,71.24,218.76,0.25
LOW,5,0.8,1.879198940085176,1.0,7.2299999999999995,17.77,0.25
MA,4,0.5,0.6440707931136374,1.0,10.06,29.939999999999998,0.25
MCD,6,1.0,0.5,1.0,9.98,25.02,0.25
META,8,0.625,0.5972517190729576,1.0,59.94,185.06,0.25
MS,3,0.3333333333333333,1.6811577736726626,1.0,3.33,11.67,0.25
MSFT,8,0.5,0.8285575251023007,1.0,30.47,74.53,0.25
MU,4,0.5,0.5,1.0,28.83,98.67,0.25
NFLX,5,0.6,0.7661116534542044,1.0,52.269999999999996,147.73000000000002,0.25
NKE,4,0.75,1.0573338079459946,1.0,2.74,6.76,0.25
NOW,5,0.6,0.7122786343108838,1.0,55.959999999999994,154.04000000000002,0.25
NVDA,4,1.0,0.6884034664413969,1.0,7.58,24.92,0.25
PFE,1,1.0,0.76751451179709,1.0,0.3,0.7,0.25
PLTR,3,0.3333333333333333,0.6062858174923206,1.0,6.26,16.74,0.25
QCOM,3,1.0,0.531923007702118,1.0,6.2,16.3,0.25
ROST,4,0.25,0.6902655333306067,1.0,9.47,30.53,0.25
SHOP,1,1.0,0.8754263640715365,1.0,1.82,3.1799999999999997,0.25
SLB,1,1.0,0.6411827756984767,1.0,0.43,0.5700000000000001,0.25
SNAP,3,1.0,0.9892079945259505,1.0,1.08,2.92,0.25
TSLA,8,0.625,1.3636425624085404,1.0,28.02,81.98,0.25
UNH,8,0.5,0.9153588477846739,1.0,28.66,86.34,0.25
V,6,0.8333333333333334,0.5,1.0,12.959999999999999,42.04,0.25
