ticker,n,win_rate,iv_mult,max_move_bound
AAPL,1,1.0,1.3,0.12
ADBE,4,0.25,1.3,0.12
AMD,9,0.5555555555555556,1.3,0.12
AMZN,3,0.3333333333333333,1.3,0.12
AVGO,3,0.0,1.3,0.12
AXP,1,1.0,1.3,0.12
BA,2,0.0,1.3,0.12
BABA,4,0.5,1.3,0.12
CAT,1,1.0,1.3,0.12
COIN,15,0.5333333333333333,1.3,0.12
COST,1,1.0,1.3,0.12
CRM,4,0.25,1.3,0.12
CVX,1,1.0,1.3,0.12
DIS,1,0.0,1.3,0.12
GOOGL,1,1.0,1.3,0.12
GS,1,1.0,1.3,0.12
HON,1,0.0,1.3,0.12
INTC,3,0.6666666666666666,1.3,0.12
ISRG,1,1.0,1.3,0.12
JD,4,0.75,1.3,0.12
JPM,1,1.0,1.3,0.12
LLY,1,0.0,1.3,0.12
LOW,1,1.0,1.3,0.12
MA,1,1.0,1.3,0.12
META,5,0.2,1.3,0.12
MS,1,1.0,1.3,0.12
MSFT,1,0.0,1.3,0.12
MU,6,0.3333333333333333,1.3,0.12
NFLX,1,1.0,1.3,0.12
NOW,2,0.0,1.3,0.12
NVDA,4,0.5,1.3,0.12
PLTR,4,0.0,1.3,0.12
QCOM,4,0.5,1.3,0.12
SHOP,6,0.16666666666666666,1.3,0.12
SLB,2,0.5,1.3,0.12
SNAP,2,0.0,1.3,0.12
TJX,1,0.0,1.3,0.12
TSLA,12,0.4166666666666667,1.3,0.12
UBER,1,0.0,1.3,0.12
V,1,1.0,1.3,0.12
AAPL,1,1.0,1.3,0.25
ADBE,4,0.25,1.3,0.25
AMD,9,0.5555555555555556,1.3,0.25
AMZN,3,0.3333333333333333,1.3,0.25
AVGO,3,0.0,1.3,0.25
AXP,1,1.0,1.3,0.25
BA,2,0.0,1.3,0.25
BABA,4,0.5,1.3,0.25
CAT,1,1.0,1.3,0.25
COIN,15,0.5333333333333333,1.3,0.25
COST,1,1.0,1.3,0.25
CRM,4,0.25,1.3,0.25
CVX,1,1.0,1.3,0.25
DIS,1,0.0,1.3,0.25
GOOGL,1,1.0,1.3,0.25
GS,1,1.0,1.3,0.25
HON,1,0.0,1.3,0.25
INTC,3,0.6666666666666666,1.3,0.25
ISRG,1,1.0,1.3,0.25
JD,4,0.75,1.3,0.25
JPM,1,1.0,1.3,0.25
LLY,1,0.0,1.3,0.25
LOW,1,1.0,1.3,0.25
MA,1,1.0,1.3,0.25
META,5,0.2,1.3,0.25
MS,1,1.0,1.3,0.25
MSFT,1,0.0,1.3,0.25
MU,6,0.3333333333333333,1.3,0.25
NFLX,1,1.0,1.3,0.25
