ticker,n,win_rate,max_move_bound
AAPL,5,0.8,0.12
ADBE,8,0.625,0.12
AMD,6,0.6666666666666666,0.12
AMZN,7,0.5714285714285714,0.12
AVGO,7,0.42857142857142855,0.12
AXP,8,0.75,0.12
BA,6,1.0,0.12
BABA,2,1.0,0.12
CAT,8,0.75,0.12
COIN,7,0.5714285714285714,0.12
COST,6,0.8333333333333334,0.12
CRM,8,0.875,0.12
DE,8,0.5,0.12
F,1,1.0,0.12
GOOGL,7,0.8571428571428571,0.12
GS,6,0.5,0.12
HD,8,0.875,0.12
HON,6,0.3333333333333333,0.12
INTC,5,1.0,0.12
ISRG,8,0.625,0.12
JD,7,0.8571428571428571,0.12
JNJ,4,1.0,0.12
JPM,7,0.8571428571428571,0.12
LLY,8,0.5,0.12
LOW,6,0.8333333333333334,0.12
MA,4,0.5,0.12
MCD,7,1.0,0.12
META,8,0.5,0.12
MS,4,0.5,0.12
MSFT,8,0.375,0.12
MU,3,0.3333333333333333,0.12
NFLX,5,0.6,0.12
NKE,4,0.75,0.12
NOW,5,0.6,0.12
NVDA,4,1.0,0.12
PFE,1,1.0,0.12
PLTR,1,1.0,0.12
QCOM,5,0.6,0.12
ROST,7,0.42857142857142855,0.12
SLB,1,1.0,0.12
TGT,1,1.0,0.12
TSLA,8,0.625,0.12
UNH,8,0.5,0.12
V,7,0.8571428571428571,0.12
AAPL,5,0.8,0.25
ADBE,8,0.625,0.25
AMD,6,0.6666666666666666,0.25
AMZN,7,0.5714285714285714,0.25
AVGO,7,0.42857142857142855,0.25
AXP,8,0.75,0.25
BA,6,1.0,0.25
BABA,2,1.0,0.25
CAT,8,0.75,0.25
COIN,7,0.5714285714285714,0.25
COST,6,0.8333333333333334,0.25
CRM,8,0.875,0.25
DE,8,0.5,0.25
F,1,1.0,0.25
GOOGL,7,0.8571428571428571,0.25
GS,6,0.5,0.25
HD,8,0.875,0.25
HON,6,0.3333333333333333,0.25
INTC,5,1.0,0.25
ISRG,8,0.625,0.25
JD,7,0.8571428571428571,0.25
JNJ,4,1.0,0.25
JPM,7,0.8571428571428571,0.25
LLY,8,0.5,0.25
LOW,6,0.8333333333333334,0.25
MA,4,0.5,0.25
MCD,7,1.0,0.25
META,8,0.5,0.25
MS,4,0.5,0.25
MSFT,8,0.375,0.25
MU,3,0.3333333333333333,0.25
NFLX,5,0.6,0.25
NKE,4,0.75,0.25
NOW,5,0.6,0.25
NVDA,4,1.0,0.25
PFE,1,1.0,0.25
PLTR,2,0.5,0.25
QCOM,5,0.6,0.25
ROST,7,0.42857142857142855,0.25
SHOP,1,1.0,0.25
SLB,1,1.0,0.25
SNAP,3,1.0,0.25
TGT,1,1.0,0.25
TSLA,8,0.625,0.25
UNH,8,0.5,0.25
V,7,0.8571428571428571,0.25
