ticker,n,win_rate,avg_net_credit_dollars,avg_max_risk_dollars,short_mult,wing_mult,iv_mult,max_move_bound
ADBE,3,0.3333333333333333,246.18333333333334,420.48333333333335,1.0,1.3,1.3,0.12
AMD,6,0.5,179.38,320.62000000000006,1.0,1.3,1.3,0.12
AMZN,2,0.5,94.17999999999999,155.82,1.0,1.3,1.3,0.12
AVGO,1,0.0,193.67000000000002,306.33,1.0,1.3,1.3,0.12
BA,1,0.0,103.01,146.99,1.0,1.3,1.3,0.12
CAT,1,1.0,163.38,336.62,1.0,1.3,1.3,0.12
COIN,10,0.5,134.57,290.43,1.0,1.3,1.3,0.12
COST,1,1.0,172.59,327.40999999999997,1.0,1.3,1.3,0.12
CRM,1,0.0,84.23,165.76999999999998,1.0,1.3,1.3,0.12
DIS,1,0.0,89.58,160.42000000000002,1.0,1.3,1.3,0.12
GOOGL,1,1.0,90.89,159.10999999999999,1.0,1.3,1.3,0.12
GS,1,1.0,261.83,738.1700000000001,1.0,1.3,1.3,0.12
INTC,1,0.0,82.45,167.55,1.0,1.3,1.3,0.12
ISRG,1,1.0,177.61,322.39,1.0,1.3,1.3,0.12
JD,2,0.5,65.63,109.37,1.0,1.3,1.3,0.12
JPM,1,1.0,167.39,332.61,1.0,1.3,1.3,0.12
LLY,1,0.0,457.07000000000005,1042.93,1.0,1.3,1.3,0.12
MA,1,1.0,169.08,330.91999999999996,1.0,1.3,1.3,0.12
META,5,0.4,175.72999999999996,424.27000000000004,1.0,1.3,1.3,0.12
MSFT,1,0.0,205.20999999999998,294.79,1.0,1.3,1.3,0.12
MU,3,0.3333333333333333,447.09666666666664,886.2366666666668,1.0,1.3,1.3,0.12
NFLX,1,1.0,90.67,159.33,1.0,1.3,1.3,0.12
NOW,1,0.0,87.55,162.45000000000002,1.0,1.3,1.3,0.12
NVDA,2,0.0,82.135,167.865,1.0,1.3,1.3,0.12
PLTR,1,0.0,90.95,159.05,1.0,1.3,1.3,0.12
QCOM,1,0.0,89.89,160.10999999999999,1.0,1.3,1.3,0.12
SHOP,2,0.0,90.97500000000001,159.025,1.0,1.3,1.3,0.12
SLB,1,0.0,36.43,63.56999999999999,1.0,1.3,1.3,0.12
SNAP,1,0.0,39.72,60.28,1.0,1.3,1.3,0.12
