ticker,n,win_rate,pct_true_jade_lizard,avg_put_collateral_required,max_move_bound
AAPL,7,0.8571428571428571,0.0,24678.571428571428,0.12
ADBE,8,0.75,0.0,36531.25,0.12
AMD,7,0.5714285714285714,0.0,23892.85714285714,0.12
AMZN,7,0.5714285714285714,0.0,20321.428571428572,0.12
AVGO,7,0.42857142857142855,0.0,28214.285714285714,0.12
AXP,8,0.75,0.0,30375.0,0.12
BA,8,1.0,0.0,19437.5,0.12
BABA,2,1.0,0.0,11750.0,0.12
CAT,8,0.75,0.0,51125.0,0.12
COIN,8,0.5,0.0,22187.5,0.12
COST,6,0.8333333333333334,0.0,92500.0,0.12
CRM,8,0.875,0.0,23406.25,0.12
DE,8,0.625,0.0,48937.5,0.12
F,2,1.0,0.0,1150.0,0.12
GOOGL,7,0.8571428571428571,0.0,22500.0,0.12
GS,6,0.5,0.0,73166.66666666667,0.12
HD,8,0.875,0.0,35250.0,0.12
HON,6,0.3333333333333333,0.0,20875.0,0.12
INTC,5,1.0,0.0,2260.0,0.12
ISRG,8,0.625,0.0,45625.0,0.12
JD,7,0.8571428571428571,0.0,3200.0,0.12
JNJ,4,1.0,0.0,21750.0,0.12
JPM,8,0.75,0.0,27250.0,0.12
LLY,8,0.5,0.0,84062.5,0.12
LOW,7,0.8571428571428571,0.0,23357.14285714286,0.12
MA,4,1.0,0.0,52125.0,0.12
MCD,7,1.0,0.0,28857.14285714286,0.12
META,8,0.625,0.0,60062.5,0.12
MS,4,0.5,0.0,17937.5,0.12
MSFT,8,0.375,0.0,43062.5,0.12
MU,3,0.6666666666666666,0.0,52000.0,0.12
NFLX,5,0.6,0.0,93900.0,0.12
NKE,4,0.75,0.0,5800.0,0.12
NOW,5,0.6,0.0,87500.0,0.12
NVDA,4,1.0,0.0,18375.0,0.12
PFE,4,1.0,0.0,2525.0,0.12
PLTR,1,1.0,0.0,18750.0,0.12
QCOM,5,0.6,0.0,15700.0,0.12
ROST,7,0.7142857142857143,0.0,16464.285714285714,0.12
SHOP,2,1.0,0.0,11875.0,0.12
SLB,3,1.0,0.0,3266.6666666666665,0.12
TGT,1,1.0,0.0,9500.0,0.12
TJX,4,0.75,0.0,14562.5,0.12
TSLA,8,0.625,0.0,32500.0,0.12
UNH,8,0.5,0.0,41125.0,0.12
V,7,0.8571428571428571,0.0,32357.14285714286,0.12
AAPL,7,0.8571428571428571,0.0,24678.571428571428,0.25
ADBE,8,0.75,0.0,36531.25,0.25
AMD,7,0.5714285714285714,0.0,23892.85714285714,0.25
AMZN,7,0.5714285714285714,0.0,20321.428571428572,0.25
AVGO,7,0.42857142857142855,0.0,28214.285714285714,0.25
AXP,8,0.75,0.0,30375.0,0.25
BA,8,1.0,0.0,19437.5,0.25
BABA,2,1.0,0.0,11750.0,0.25
CAT,8,0.75,0.0,51125.0,0.25
COIN,8,0.5,0.0,22187.5,0.25
COST,6,0.8333333333333334,0.0,92500.0,0.25
CRM,8,0.875,0.0,23406.25,0.25
DE,8,0.625,0.0,48937.5,0.25
F,2,1.0,0.0,1150.0,0.25
GOOGL,7,0.8571428571428571,0.0,22500.0,0.25
GS,6,0.5,0.0,73166.66666666667,0.25
HD,8,0.875,0.0,35250.0,0.25
HON,6,0.3333333333333333,0.0,20875.0,0.25
INTC,5,1.0,0.0,2260.0,0.25
ISRG,8,0.625,0.0,45625.0,0.25
JD,7,0.8571428571428571,0.0,3200.0,0.25
JNJ,4,1.0,0.0,21750.0,0.25
JPM,8,0.75,0.0,27250.0,0.25
LLY,8,0.5,0.0,84062.5,0.25
LOW,7,0.8571428571428571,0.0,23357.14285714286,0.25
MA,4,1.0,0.0,52125.0,0.25
MCD,7,1.0,0.0,28857.14285714286,0.25
META,8,0.625,0.0,60062.5,0.25
MS,4,0.5,0.0,17937.5,0.25
MSFT,8,0.375,0.0,43062.5,0.25
MU,3,0.6666666666666666,0.0,52000.0,0.25
NFLX,5,0.6,0.0,93900.0,0.25
NKE,4,0.75,0.0,5800.0,0.25
NOW,5,0.6,0.0,87500.0,0.25
NVDA,4,1.0,0.0,18375.0,0.25
PFE,4,1.0,0.0,2525.0,0.25
PLTR,2,0.5,0.0,11175.0,0.25
QCOM,5,0.6,0.0,15700.0,0.25
ROST,7,0.7142857142857143,0.0,16464.285714285714,0.25
SHOP,3,1.0,0.0,11416.666666666666,0.25
SLB,3,1.0,0.0,3266.6666666666665,0.25
SNAP,5,1.0,0.0,780.0,0.25
TGT,1,1.0,0.0,9500.0,0.25
TJX,4,0.75,0.0,14562.5,0.25
TSLA,8,0.625,0.0,32500.0,0.25
UNH,8,0.5,0.0,41125.0,0.25
V,7,0.8571428571428571,0.0,32357.14285714286,0.25
