ticker,earnings_date,timing,outcome_date,spot,net_credit,price_09:30,price_09:35,price_09:45,price_10:00,price_10:30,price_11:00,price_12:00,price_close,payoff_09:30,payoff_09:35,payoff_09:45,payoff_10:00,payoff_10:30,payoff_11:00,payoff_12:00,payoff_close
TSLA,2026-07-22,AMC,2026-07-23,374.010009765625,1.5255,341.38,337.85,334.28,326.74,323.86,323.42,324.6,319.35,-1.9489999999999998,-1.9489999999999998,-1.9489999999999998,-1.9489999999999998,-1.9489999999999998,-1.9489999999999998,-1.9489999999999998,-1.9489999999999998
TSLA,2026-04-22,AMC,2026-04-23,387.510009765625,2.162,375.28,379.05,379.75,372.35,369.09,376.01,380.84,373.63,2.162,2.162,2.162,2.162,1.251999999999975,2.162,2.162,2.162
AMD,2026-08-04,AMC,2026-08-05,518.5800170898438,3.7517,484.5,494.14,493.25,494.22,486.72,480.83,483.75,481.72,3.7517,3.7517,3.7517,3.7517,3.7517,3.7517,3.7517,3.7517
AMD,2026-05-05,AMC,2026-05-06,355.260009765625,1.4997,409.49,426.8,428.29,411.62,405.9,409.7,414.09,421.49,-2.0006000000000004,-2.0006000000000004,-2.0006000000000004,-2.0006000000000004,-2.0006000000000004,-2.0006000000000004,-2.0006000000000004,-2.0006000000000004
AMAT,2026-08-13,AMC,2026-08-14,534.5399780273438,2.9072,499.4,513.37,517.58,511.79,509.8,508.48,504.75,507.18,2.9072,2.9072,2.9072,2.9072,2.9072,2.9072,2.9072,2.9072
AMAT,2026-05-14,AMC,2026-05-15,440.55999755859375,2.2261,427.44,439.86,431.01,429.91,431.45,434.47,439.01,436.33,2.2261,2.2261,2.2261,2.2261,2.2261,2.2261,2.2261,2.2261
MPWR,2026-07-30,AMC,2026-07-31,1316.1800537109375,5.2734,1499.0,1560.31,1483.92,1455.91,1448.04,1459.07,1433.22,1426.03,-14.453200000000002,-14.453200000000002,-14.453200000000002,-14.453200000000002,-14.453200000000002,-14.453200000000002,-14.453200000000002,-14.453200000000002
MPWR,2026-04-30,AMC,2026-05-01,1614.4100341796875,6.2579,1564.56,1544.75,1580.64,1563.64,1548.68,1550.0,1552.9,1583.03,6.2579,6.2579,6.2579,6.2579,6.2579,6.2579,6.2579,6.2579
TER,2026-07-28,AMC,2026-07-29,320.6499938964844,2.2269,368.26,364.9,358.98,338.14,332.36,337.1,331.38,319.27,-5.546199999999999,-5.546199999999999,-5.546199999999999,2.2269,2.2269,2.2269,2.2269,2.2269
TER,2026-04-28,AMC,2026-04-29,380.1300048828125,2.3515,314.59,311.29,318.89,331.27,325.17,319.21,319.77,306.35,-0.2969999999999997,-0.2969999999999997,-0.2969999999999997,-0.2969999999999997,-0.2969999999999997,-0.2969999999999997,-0.2969999999999997,-0.2969999999999997
CBRS,2026-08-12,AMC,2026-08-13,262.05999755859375,3.0189,218.67,225.9,231.99,227.5,234.99,226.5,226.72,231.5,1.0377999999999998,-1.0810999999999944,3.0189,0.5188999999999999,3.0189,-0.4811000000000001,-0.2611000000000012,3.0189
CBRS,2026-06-23,AMC,2026-06-24,226.72000122070312,2.0468,209.14,200.02,193.08,195.26,190.94,189.9,186.66,182.5,2.0468,2.0468,1.5936000000000003,1.5936000000000003,1.5936000000000003,1.5936000000000003,1.5936000000000003,1.5936000000000003
