ticker,earnings_date,timing,outcome_date,spot,expected_move,net_credit,short_put,long_put,short_call,long_call,price_09:30,price_09:35,price_09:45,price_10:00,price_10:30,price_11:00,price_12:00,price_close,payoff_09:30,payoff_09:35,payoff_09:45,payoff_10:00,payoff_10:30,payoff_11:00,payoff_12:00,payoff_close
AAPL,2026-04-30,AMC,2026-05-01,271.3500061035156,10.469999999999999,1.76,260.0,255.0,280.0,285.0,278.86,280.68,282.02,283.95,285.34,282.65,284.71,280.15,1.76,1.0799999999999932,-0.2599999999999818,-2.189999999999989,-1.4800000000000002,-0.8899999999999773,-2.9499999999999797,1.6100000000000227
AAPL,2026-01-29,AMC,2026-01-30,258.2799987792969,11.55,1.41,245.0,240.0,270.0,275.0,255.17,254.0,253.5,256.3,254.08,254.92,256.09,258.24,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
NVDA,2026-08-26,AMC,2026-08-27,209.66000366210938,12.45,1.91,192.5,190.0,220.0,230.0,222.86,222.28,224.95,224.24,225.72,226.96,226.19,228.02,-0.9500000000000137,-0.3700000000000012,-3.0399999999999885,-2.330000000000009,-3.8099999999999987,-5.050000000000008,-4.279999999999998,-6.11000000000001
NVDA,2026-02-25,AMC,2026-02-26,195.55999755859375,11.969999999999999,0.89,180.0,177.5,210.0,215.0,194.27,191.01,189.99,189.39,186.1,186.33,185.89,184.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
GOOGL,2026-04-29,AMC,2026-04-30,349.94000244140625,19.189999999999998,2.04,325.0,320.0,370.0,380.0,374.08,372.93,370.29,370.45,369.06,372.19,374.64,385.1,-2.039999999999984,-0.8900000000000068,1.7499999999999796,1.5900000000000114,2.04,-0.1499999999999977,-2.5999999999999863,-5.92
GOOGL,2026-02-04,AMC,2026-02-05,333.0400085449219,21.48,2.15,305.0,300.0,355.0,365.0,312.38,314.89,325.71,320.98,316.0,316.53,321.94,331.24,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15
TSLA,2026-07-22,AMC,2026-07-23,374.010009765625,22.18,2.24,345.0,340.0,395.0,405.0,341.38,337.85,334.28,326.74,323.86,323.42,324.6,319.35,-1.3800000000000043,-0.5199999999999996,-0.5199999999999996,-0.5199999999999996,-0.5199999999999996,-0.5199999999999996,-0.5199999999999996,-0.5199999999999996
TSLA,2026-04-22,AMC,2026-04-23,387.510009765625,20.81,1.89,360.0,355.0,410.0,420.0,375.28,379.05,379.75,372.35,369.09,376.01,380.84,373.63,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
TSLA,2026-01-28,AMC,2026-01-29,431.4599914550781,24.54,3.0,400.0,395.0,455.0,470.0,437.64,430.39,427.3,423.39,422.26,417.53,420.82,416.44,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
IBM,2026-07-22,AMC,2026-07-23,205.77000427246094,14.1,0.88,187.5,185.0,220.0,225.0,202.64,201.85,201.1,201.79,206.37,205.87,206.92,206.59,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
IBM,2026-04-22,AMC,2026-04-23,251.86000061035156,17.1,1.88,230.0,225.0,270.0,280.0,232.27,228.0,225.61,225.03,228.56,229.74,229.77,231.01,1.88,-0.1200000000000001,-2.5099999999999865,-3.089999999999999,0.44000000000000217,1.620000000000009,1.6500000000000101,1.88
IBM,2026-01-28,AMC,2026-01-29,294.1600036621094,19.25,2.37,270.0,265.0,315.0,325.0,317.86,317.19,317.11,315.55,311.19,311.57,312.28,308.91,-0.49000000000001354,0.18000000000000238,0.25999999999998646,1.8199999999999887,2.37,2.37,2.37,2.37
TXN,2026-07-22,AMC,2026-07-23,294.19000244140625,27.799999999999997,3.9,260.0,250.0,320.0,335.0,277.58,287.33,285.26,284.17,283.02,284.3,284.11,285.27,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
TXN,2026-04-22,AMC,2026-04-23,236.30999755859375,19.97,2.59,210.0,205.0,255.0,265.0,260.31,269.69,273.51,274.63,274.76,276.25,279.85,282.41,-2.7200000000000024,-4.82,-4.82,-4.82,-4.82,-4.82,-4.82,-4.82
TXN,2026-01-27,AMC,2026-01-28,196.6300048828125,15.2,2.84,177.5,175.0,210.0,220.0,203.82,207.49,211.59,211.76,211.38,211.85,213.34,216.23,2.84,2.84,1.2499999999999964,1.080000000000009,1.4600000000000044,0.9900000000000055,-0.5000000000000036,-3.38999999999999
MU,2026-06-24,AMC,2026-06-25,1048.510009765625,117.22,10.99,895.0,875.0,1165.0,1225.0,1234.49,1250.0,1216.69,1138.91,1148.65,1177.26,1194.21,1214.59,-38.019999999999996,-38.019999999999996,-40.70000000000005,10.99,10.99,-1.2699999999999907,-18.220000000000034,-38.599999999999916
MU,2026-03-18,AMC,2026-03-19,461.7300109863281,36.39,3.56,415.0,405.0,500.0,515.0,424.84,427.76,434.86,439.3,449.73,450.69,437.41,444.24,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56
