Got CBOE DataShop token OK
Real universe: 311 tickers from EVC's own CANDIDATE_POOL
  [1/311] AA: 4 real events analyzed, 0 skipped
  [2/311] AAL: 3 real events analyzed, 1 skipped
  [3/311] AAPL: 4 real events analyzed, 0 skipped
  [4/311] ABBV: 4 real events analyzed, 0 skipped
  [5/311] ABNB: 4 real events analyzed, 0 skipped
  [6/311] ADBE: 4 real events analyzed, 0 skipped
  [7/311] AEP: 4 real events analyzed, 0 skipped
  [8/311] AFL: 4 real events analyzed, 0 skipped
  [9/311] AFRM: 4 real events analyzed, 0 skipped
  [10/311] AIG: 4 real events analyzed, 0 skipped
  [11/311] ALB: 4 real events analyzed, 0 skipped
  [12/311] ALGN: 4 real events analyzed, 0 skipped
  [13/311] ALK: 4 real events analyzed, 0 skipped
  [14/311] ALL: 2 real events analyzed, 2 skipped
  [15/311] AMAT: 4 real events analyzed, 0 skipped
  [16/311] AMCR: 2 real events analyzed, 2 skipped
  [17/311] AMD: 4 real events analyzed, 0 skipped
  [18/311] AMGN: 4 real events analyzed, 0 skipped
  [19/311] AMT: 4 real events analyzed, 0 skipped
  [20/311] AMZN: 4 real events analyzed, 0 skipped
  [21/311] APD: 4 real events analyzed, 0 skipped
  [22/311] ARKK: no earnings calendar or history
  [23/311] ARM: 4 real events analyzed, 0 skipped
  [24/311] ASML: 4 real events analyzed, 0 skipped
  [25/311] AVB: 0 real events analyzed, 0 skipped
  [26/311] AVGO: 4 real events analyzed, 0 skipped
  [27/311] AXON: 4 real events analyzed, 0 skipped
  [28/311] AXP: 4 real events analyzed, 0 skipped
  [29/311] BA: 4 real events analyzed, 0 skipped
  [30/311] BABA: 4 real events analyzed, 0 skipped
  [31/311] BAC: 4 real events analyzed, 0 skipped
  [32/311] BBY: 4 real events analyzed, 0 skipped
  [33/311] BIDU: 4 real events analyzed, 0 skipped
  [34/311] BIIB: 4 real events analyzed, 0 skipped
  [35/311] BKNG: 2 real events analyzed, 2 skipped
  [36/311] BKR: 1 real events analyzed, 3 skipped
  [37/311] BLK: 4 real events analyzed, 0 skipped
  [38/311] BMY: 4 real events analyzed, 0 skipped
  [39/311] BSX: 1 real events analyzed, 3 skipped
  [40/311] C: 0 real events analyzed, 4 skipped
  [41/311] CAG: 0 real events analyzed, 4 skipped
  [42/311] CAT: 0 real events analyzed, 4 skipped
  [43/311] CB: 0 real events analyzed, 4 skipped
  [44/311] CBRS: 0 real events analyzed, 2 skipped
  [45/311] CCI: 0 real events analyzed, 4 skipped
  [46/311] CELH: 0 real events analyzed, 4 skipped
  [47/311] CF: 0 real events analyzed, 4 skipped
  [48/311] CI: 0 real events analyzed, 4 skipped
  [49/311] CL: 0 real events analyzed, 4 skipped
  [50/311] CLF: 0 real events analyzed, 4 skipped
  [51/311] CMCSA: 0 real events analyzed, 4 skipped
  [52/311] CMG: 0 real events analyzed, 4 skipped
  [53/311] COF: 0 real events analyzed, 4 skipped
  [54/311] COIN: 0 real events analyzed, 4 skipped
