ticker,entry_date,outcome_date,spot,implied_move_pct,net_credit,outcome_close,close_payoff,n_trailing_quarters,trailing_avg_abs_move_pct,trailing_max_abs_move_pct,trailing_blowouts_gt12pct,trailing_blowouts_gt15pct
NVDA,2026-08-26,2026-08-27,209.66,5.94,0.92,227.98,-2.06,8,4.61,8.48,0,0
NVDA,2026-02-25,2026-02-26,195.56,6.12,0.89,184.89,0.89,8,6.9,16.4,1,1
GOOGL,2026-04-29,2026-04-30,349.94,5.48,1.19,384.8,-2.62,8,4.27,10.22,0,0
GOOGL,2026-02-04,2026-02-05,333.04,6.45,1.31,331.25,1.31,8,4.89,10.22,0,0
TSLA,2026-04-22,2026-04-23,387.51,5.37,1.11,373.72,1.11,8,8.75,21.92,3,1
TSLA,2026-01-28,2026-01-29,431.46,5.69,1.32,416.56,1.32,8,9.83,21.92,4,1
IBM,2026-04-22,2026-04-23,251.86,6.79,1.08,231.08,1.08,8,7.37,12.96,1,0
IBM,2026-01-28,2026-01-29,294.16,6.54,1.45,309.24,1.45,8,7.91,12.96,1,0
TXN,2026-07-22,2026-07-23,294.19,9.45,2.23,284.99,2.23,8,8.76,19.43,2,1
TXN,2026-04-22,2026-04-23,236.31,8.45,1.64,282.23,-1.72,8,7.04,13.34,1,0
TXN,2026-01-27,2026-01-28,196.63,7.73,1.09,216.17,-0.08,8,6.1,13.34,1,0
MU,2026-06-24,2026-06-25,1048.51,11.18,5.18,1213.56,-8.38,8,8.61,16.18,2,1
MU,2026-03-18,2026-03-19,461.73,7.88,1.82,444.27,1.82,8,9.78,16.18,3,1
MU,2025-12-17,2025-12-18,225.52,8.92,1.34,248.55,1.34,8,9.58,16.18,3,1
MRVL,2026-08-27,2026-08-28,241.45,10.27,1.3,216.62,1.3,8,13.58,23.19,4,4
TER,2026-04-28,2026-04-29,380.13,11.67,1.86,306.33,-1.28,8,11.69,20.47,4,2
LITE,2026-08-11,2026-08-12,820.59,10.99,5.45,932.47,5.45,8,10.1,23.57,3,1
LITE,2026-05-05,2026-05-06,994.56,11.54,2.77,944.28,2.77,8,10.19,23.57,3,1
ADBE,2026-06-11,2026-06-12,218.8,9.21,1.1,204.02,1.1,8,8.33,14.51,3,0
ADBE,2026-03-12,2026-03-13,269.78,6.91,1.13,249.32,1.13,8,9.09,14.51,4,0
