ticker,earnings_date,timing,entry_date,outcome_date,spot,outcome_price,real_move_pct,implied_move_pct,atm_strike,short_put,short_call,straddle_cost,straddle_pnl,strangle_cost,strangle_pnl,reverse_condor_cost,reverse_condor_pnl
MRVL,2026-05-27,AMC,2026-05-27,2026-05-28,198.7,204.83,3.09,13.01,197.5,165.0,230.0,2585.0,-1852.0,514.0,-514.0,-119.0,-119.0
TER,2026-07-28,AMC,2026-07-28,2026-07-29,320.65,319.41,-0.39,14.5,320.0,260.0,380.0,4651.0,-4592.0,856.0,-856.0,-282.0,-282.0
TER,2026-02-02,AMC,2026-02-02,2026-02-03,249.53,282.98,13.41,13.79,250.0,205.0,295.0,3440.0,-142.0,640.0,-640.0,-161.0,-161.0
LITE,2026-02-03,AMC,2026-02-03,2026-02-04,435.1,465.54,7.0,16.33,435.0,345.0,525.0,7105.0,-4051.0,1201.0,-1201.0,-373.0,-373.0
LITE,2025-11-04,AMC,2025-11-04,2025-11-05,188.36,232.75,23.57,13.43,187.5,155.0,220.0,2530.0,1995.0,452.0,823.0,-62.0,376.0
NET,2026-02-10,AMC,2026-02-10,2026-02-11,179.98,189.41,5.24,13.23,180.0,150.0,210.0,2382.0,-1441.0,435.0,-435.0,-141.0,-141.0
NET,2025-10-30,AMC,2025-10-30,2025-10-31,222.5,253.3,13.84,12.18,220.0,187.5,260.0,2709.0,621.0,381.0,-381.0,-142.0,-142.0
TEAM,2026-08-06,AMC,2026-08-06,2026-08-07,110.17,149.07,35.31,14.61,110.0,90.0,130.0,1610.0,2297.0,295.0,1612.0,-130.0,240.0
TEAM,2025-10-30,AMC,2025-10-30,2025-10-31,160.67,169.42,5.45,12.87,160.0,135.0,187.5,2068.0,-1126.0,441.0,-441.0,-112.0,-112.0
TEAM,2025-05-01,AMC,2025-05-01,2025-05-02,229.07,208.48,-8.99,12.83,230.0,190.0,265.0,2940.0,-788.0,495.0,-495.0,-199.0,-199.0
MDB,2026-09-01,AMC,2026-09-01,2026-09-02,434.21,375.4,-13.54,16.02,435.0,345.0,525.0,6955.0,-995.0,1150.0,-1150.0,-380.0,-380.0
MDB,2026-05-28,AMC,2026-05-28,2026-05-29,325.68,335.55,3.03,17.44,325.0,250.0,400.0,5679.0,-4624.0,1031.0,-1031.0,-246.0,-246.0
MDB,2026-03-02,AMC,2026-03-02,2026-03-03,325.01,252.73,-22.24,15.63,325.0,260.0,390.0,5081.0,2146.0,960.0,-233.0,-274.0,453.0
MDB,2025-12-01,AMC,2025-12-01,2025-12-02,328.87,401.99,22.23,13.38,330.0,270.0,385.0,4400.0,2799.0,697.0,1002.0,-182.0,636.0
MDB,2025-08-26,AMC,2025-08-26,2025-08-27,214.34,295.7,37.96,16.02,215.0,170.0,260.0,3434.0,4636.0,519.0,3051.0,-182.0,136.0
MDB,2025-06-04,AMC,2025-06-04,2025-06-05,199.73,225.38,12.84,13.67,200.0,165.0,235.0,2730.0,-192.0,476.0,-476.0,-137.0,-137.0
MDB,2025-03-05,AMC,2025-03-05,2025-03-06,264.13,192.98,-26.94,13.5,265.0,220.0,310.0,3565.0,3637.0,492.0,2210.0,-260.0,480.0
MDB,2024-12-09,AMC,2024-12-09,2024-12-10,350.13,290.9,-16.92,15.04,350.0,280.0,420.0,5267.0,643.0,601.0,-601.0,-188.0,-188.0
LULU,2025-09-04,AMC,2025-09-04,2025-09-05,206.09,167.8,-18.58,12.13,205.0,172.5,240.0,2499.0,1221.0,392.0,78.0,-110.0,360.0
VFC,2025-10-28,BMO,2025-10-27,2025-10-28,16.61,14.58,-12.22,12.88,17.0,14.0,19.0,214.0,28.0,49.0,-49.0,-22.0,-22.0
RBLX,2025-07-31,BMO,2025-07-30,2025-07-31,124.94,137.79,10.28,13.02,125.0,105.0,145.0,1627.0,-348.0,328.0,-328.0,-122.0,-122.0
FDX,2024-12-19,AMC,2024-12-19,2024-12-20,275.88,275.73,-0.05,13.48,275.0,230.0,325.0,3720.0,-3647.0,426.0,-426.0,-161.0,-161.0
AXON,2026-08-05,AMC,2026-08-05,2026-08-06,609.49,522.46,-14.28,13.21,610.0,505.0,715.0,8054.0,700.0,1399.0,-1399.0,-464.0,-464.0
AXON,2026-05-06,AMC,2026-05-06,2026-05-07,385.86,426.89,10.63,14.3,385.0,315.0,460.0,5518.0,-1329.0,1077.0,-1077.0,-325.0,-325.0
MARA,2024-11-12,AMC,2024-11-12,2024-11-13,25.23,21.7,-13.99,15.26,25.0,20.0,30.0,385.0,-55.0,87.0,-87.0,-21.0,-21.0
SHOP,2025-02-11,BMO,2025-02-10,2025-02-11,119.9,123.59,3.08,13.36,120.0,100.0,140.0,1602.0,-1243.0,239.0,-239.0,-122.0,-122.0
