signal,hold_days,baseline_mean_pct,dip_n,dip_mean_pct,dip_p,dip_sig,run_n,run_mean_pct,run_p,run_sig
"Nday_ret(n=1,thresh=3%)",1,0.263410958983171,173,0.017108139853149844,0.47876629081544364,False,228,0.05348707429771069,0.37268101762011224,False
"Nday_ret(n=1,thresh=3%)",3,0.8018865405227369,173,-0.02081435035104537,0.13770602132737872,False,227,1.1144230719766903,0.48358692241308593,False
"Nday_ret(n=1,thresh=3%)",5,1.3462903642522814,172,0.7197218943763869,0.36856315139904633,False,227,1.4519636587071547,0.8657080519331427,False
"Nday_ret(n=1,thresh=3%)",10,2.7026901898155673,172,2.992954576858299,0.7843322776136162,False,224,3.1424693124544554,0.6043841599543521,False
"Nday_ret(n=1,thresh=3%)",20,5.461749835098581,169,4.502459930994982,0.4769575487400089,False,222,7.64191096368847,0.1405573483442792,False
"Nday_ret(n=1,thresh=5%)",1,0.263410958983171,52,-0.008780224756319652,0.7203289951655599,False,93,-0.0017399124576438552,0.503156699162232,False
"Nday_ret(n=1,thresh=5%)",3,0.8018865405227369,52,0.6189267620304607,0.8716522154246277,False,93,0.9778190103648631,0.7948858248506773,False
"Nday_ret(n=1,thresh=5%)",5,1.3462903642522814,51,2.508609787949486,0.3974975846134445,False,93,1.2801255228530157,0.9482581463238368,False
"Nday_ret(n=1,thresh=5%)",10,2.7026901898155673,51,5.968208023189014,0.1780760770280192,False,93,3.350594677230795,0.6156849594331778,False
"Nday_ret(n=1,thresh=5%)",20,5.461749835098581,48,4.121596702917157,0.6551166615092696,False,91,8.368284594182155,0.2361443236465796,False
"Nday_ret(n=1,thresh=8%)",1,0.263410958983171,17,0.020523445710067943,0.8966124658450351,False,28,-0.3464418041251864,0.4271550493948037,False
"Nday_ret(n=1,thresh=8%)",3,0.8018865405227369,17,2.250490034264806,0.49655402751520933,False,28,1.4375385207919569,0.647883027285619,False
"Nday_ret(n=1,thresh=8%)",5,1.3462903642522814,17,4.7740443114826485,0.14942321473947515,False,28,1.8141649698571694,0.8117246471304936,False
"Nday_ret(n=1,thresh=8%)",10,2.7026901898155673,17,6.297337784234147,0.4704979709839427,False,28,4.938875474341414,0.3457760003233506,False
"Nday_ret(n=1,thresh=8%)",20,5.461749835098581,15,8.612474389271329,0.5741555269974822,False,27,10.198908974046144,0.3538096046450598,False
"Nday_ret(n=2,thresh=3%)",1,0.263410958983171,257,0.3331167661598028,0.7948450737061286,False,326,0.3099166438273584,0.8051750713457818,False
"Nday_ret(n=2,thresh=3%)",3,0.8018865405227369,257,0.8600138639011335,0.893217421660281,False,324,1.0654305768350703,0.4657151326219135,False
"Nday_ret(n=2,thresh=3%)",5,1.3462903642522814,255,1.5216277580124464,0.7606138102644896,False,324,1.4596219650041578,0.8199716504846051,False
"Nday_ret(n=2,thresh=3%)",10,2.7026901898155673,255,2.601306846127666,0.9037693203316496,False,320,3.2073230118973153,0.4305770574641929,False
"Nday_ret(n=2,thresh=3%)",20,5.461749835098581,252,4.6500827618152805,0.43756131182443314,False,316,7.019327476122665,0.18679751879582626,False
"Nday_ret(n=2,thresh=5%)",1,0.263410958983171,128,0.2589758495380628,0.992020441396831,False,185,0.6350118031875607,0.161051213836837,False
"Nday_ret(n=2,thresh=5%)",3,0.8018865405227369,128,0.6939346924365215,0.8694718218352883,False,185,1.353668743773203,0.25140532140631744,False
"Nday_ret(n=2,thresh=5%)",5,1.3462903642522814,127,1.8539252857567579,0.5535477629400394,False,185,1.6194293036276106,0.6946316250886959,False
"Nday_ret(n=2,thresh=5%)",10,2.7026901898155673,127,4.291569635931905,0.2189096977582876,False,181,3.1311276968382438,0.6441013718751525,False
"Nday_ret(n=2,thresh=5%)",20,5.461749835098581,124,6.328583076489175,0.6042199778710062,False,177,8.782178071648692,0.05170679699535266,False
"Nday_ret(n=2,thresh=8%)",1,0.263410958983171,45,-0.05846780428094858,0.7155232267228587,False,93,0.6830094585876212,0.2982688820130716,False
"Nday_ret(n=2,thresh=8%)",3,0.8018865405227369,45,1.4411448711960433,0.572347642993024,False,93,1.8956703190112314,0.12091162467708534,False
"Nday_ret(n=2,thresh=8%)",5,1.3462903642522814,45,2.756480631944483,0.3756786168026226,False,93,2.0721555966703153,0.5022797529870194,False
