entry_date,group,spot_entry,spot_exit,strike,dte_entry,entry_premium,exit_value,pnl_per_contract,iv_entry_call,iv_entry_put,iv_exit_call,iv_exit_put,iv_entry_avg,iv_exit_avg
2025-01-06,run,99.26000213623047,109.2300033569336,99.0,39,11.149999999999999,12.76,-161.0000000000001,0.446338711348076,0.41772237065925955,0.45337828065271424,0.39168234779477706,0.4320305410036678,0.42253031422374565
2025-01-21,baseline,109.37999725341797,90.66000366210938,109.0,38,11.72,20.18,-845.9999999999999,0.4262780908285659,0.4085974098965368,0.5028201196151377,0.7351228907980435,0.4174377503625514,0.6189715052065906
2025-01-27,dip,91.11000061035156,95.93000030517578,92.0,39,13.5,9.26,424.0,0.5122442393307834,0.622081445969991,0.43252509900034,0.4481422793933511,0.5671628426503872,0.44033368919684557
2025-02-12,baseline,91.68000030517578,91.81999969482422,90.0,37,11.600000000000001,12.99,-138.9999999999999,0.5104633508811891,0.4879513284387675,0.7175694725028445,0.7016036854262954,0.4992073396599783,0.7095865789645699
2025-03-10,dip,87.08000183105469,96.94000244140625,85.0,38,16.27,13.53,274.0,0.7277689257318944,0.7372438636445012,0.46110043009739077,0.4597151694563771,0.7325063946881978,0.46040779977688395
2025-04-04,dip,64.72000122070312,66.73999786376953,65.0,35,12.54,8.65,388.9999999999999,0.8232016986047931,0.748731212670462,0.633462246732285,0.7207897314987496,0.7859664556376276,0.6771259891155172
2025-04-07,run,68.37000274658203,70.20999908447266,70.0,39,14.33,9.149999999999999,518.0000000000001,0.7567243338080482,0.8351967713219077,0.6295435281078473,0.6228843222879739,0.795960552564978,0.6262139251979106
2025-05-13,run,96.93000030517578,96.18000030517578,97.5,38,11.89,9.05,284.0,0.48834887478990446,0.46466900063914507,0.4766601865246148,0.4345660421551369,0.47650893771452474,0.45561311433987584
2025-08-20,baseline,117.20999908447266,124.20999908447266,117.0,37,16.05,15.07,98.00000000000004,0.5330703981415147,0.5488644902849595,0.5504991895208546,0.5938572765597404,0.5409674442132371,0.5721782330402976
2025-10-01,run,182.14999389648438,191.94000244140625,182.5,37,23.56,25.1,-154.00000000000028,0.48702592028186176,0.5334148000090416,0.6079755568594296,0.6645675171326049,0.5102203601454517,0.6362715369960172
2025-10-06,baseline,190.9600067138672,206.77000427246094,190.0,39,29.1,31.47,-236.99999999999974,0.5898490700962139,0.5845872052180167,0.6993875796063475,0.6643296125169436,0.5872181376571153,0.6818585960616454
2025-10-09,baseline,192.3300018310547,206.7100067138672,190.0,36,28.439999999999998,28.990000000000002,-55.000000000000426,0.6011539150086534,0.5858913886168042,0.6563595564006933,0.6538184966504742,0.5935226518127288,0.6550890265255838
2025-11-04,dip,218.02999877929688,228.5,220.0,38,36.5,33.45,304.9999999999997,0.6853965934516977,0.6140476425779229,0.7399449122261543,0.6872809360730548,0.6497221180148103,0.7136129241496045
2025-11-05,run,237.5,225.9199981689453,235.0,37,39.620000000000005,35.77,385.0000000000001,0.6946000547296319,0.627649137741085,0.7665775191340762,0.7595425999394673,0.6611245962353585,0.7630600595367718
2025-11-10,baseline,253.3000030517578,223.92999267578125,250.0,39,47.769999999999996,42.830000000000005,493.9999999999991,0.7354021973521199,0.7229503612189809,0.7563321690670765,0.765001031132605,0.7291762792855504,0.7606666000998408
2025-11-11,baseline,241.11000061035156,224.52999877929688,240.0,38,44.2,37.06,714.0,0.7210417476189344,0.7115014753661985,0.7535641980824181,0.727579692281427,0.7162716114925665,0.7405719451819226
2025-11-28,baseline,236.47999572753906,241.13999938964844,235.0,35,38.66,31.9,675.9999999999998,0.6525861837256087,0.6781987088120885,0.7146737461999051,0.6690492056867603,0.6653924462688486,0.6918614759433327
2025-12-05,baseline,237.22000122070312,265.9200134277344,235.0,35,40.94,37.3,364.00000000000006,0.6675795794708183,0.7388811382376981,0.5125937667635767,0.5767431023048872,0.7032303588542581,0.544668434534232
2025-12-12,dip,241.13999938964844,294.3699951171875,240.0,35,40.489999999999995,55.910000000000004,-1542.000000000001,0.682056941322377,0.6843907755468435,,0.5728039798962703,0.6832238584346102,0.5728039798962703
2026-01-02,run,315.4200134277344,362.75,315.0,35,46.05,53.800000000000004,-775.0000000000007,0.5855805619522334,0.6004672851500511,0.41514295160563,0.6067254272073408,0.5930239235511423,0.5109341894064854
2026-01-27,run,410.239990234375,373.25,410.0,38,70.46000000000001,66.65,381.0000000000002,0.704217698321925,0.6355392066233255,0.6848369817711075,0.8176081733569603,0.6698784524726253,0.751222577564034
2026-02-10,baseline,373.25,429.0,370.0,38,70.72999999999999,85.0,-1427.000000000001,0.7430176079287119,0.7400091583606482,0.8448642170743473,0.8533985951973423,0.7415133831446801,0.8491314061358448
2026-03-04,run,400.7699890136719,461.7300109863281,400.0,37,74.91,83.88,-896.9999999999999,0.7618952757824572,0.7170143877576529,0.7858843352670446,0.742690235296019,0.7394548317700551,0.7642872852815318
2026-03-06,dip,370.29998779296875,422.8999938964844,370.0,35,76.56,76.69999999999999,-13.999999999998636,0.8359357797420792,0.8460236453626454,0.9060889354074969,0.7460558047571988,0.8409797125523624,0.8260723700823478
2026-03-25,baseline,382.0899963378906,421.510009765625,380.0,37,61.81,67.53999999999999,-572.999999999999,0.635680865631258,0.6447998804873124,0.7237672768363602,0.7239640231903925,0.6402403730592852,0.7238656500133764
2026-04-14,run,465.6600036621094,504.2900085449219,470.0,38,87.69999999999999,86.56,113.99999999999864,0.7089738122640398,0.7534430090472698,0.8732280597555222,0.7715460236542725,0.7312084106556548,0.8223870417048973
2026-05-08,run,746.8099975585938,751.0,750.0,35,162.5,119.3,4320.0,0.8549019395285063,0.9115770966903474,0.8438323062044893,0.8217492875325851,0.8832395181094268,0.8327907968685373
2026-05-15,dip,724.6599731445312,1035.5,720.0,34,154.03,327.40000000000003,-17337.000000000004,0.8838500292407289,0.8747367894607418,0.9237429036381593,1.0682229985523481,0.8792934093507354,0.9959829510952537
2026-06-17,baseline,1043.18994140625,975.5599975585938,1045.0,37,270.24,204.73000000000002,6550.999999999999,1.040072979501938,1.0108116493932333,0.9510338134154798,1.010011818564129,1.0254423144475857,0.9805228159898043
2026-06-26,dip,1132.3299560546875,937.0,1130.0,35,256.24,242.15,1409.0000000000005,0.9269671883105917,0.9160703816783045,0.875180800888018,0.9772393866861923,0.9215187849944481,0.9262100937871052
2026-07-15,dip,904.280029296875,739.0,900.0,37,218.95,201.15,1779.9999999999982,0.9744973832091354,0.9468104550654581,0.9661829826334881,0.8840080985104429,0.9606539191372967,0.9250955405719655
