signal,kind,iv_mult,year,n,win_rate,avg_pnl_dollars,total_pnl_dollars,worst_loss_dollars,avg_credit,avg_breakeven_win_rate_needed
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,ALL,35,0.8286,-3.07,-107.44,-196.71,0.2188,0.8906
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,2021,8,0.875,-15.45,-123.6,-196.71,0.0955,0.9523
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,2022,7,0.8571,14.34,100.39,-168.85,0.4291,0.7854
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,2023,5,0.8,16.15,80.75,-18.5,0.2589,0.8706
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,2024,6,1.0,8.26,49.57,2.67,0.0826,0.9587
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,2025,5,0.6,-34.67,-173.37,-185.85,0.2061,0.897
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.0,2026,4,0.75,-10.29,-41.18,-135.89,0.267,0.8665
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,ALL,35,0.8286,8.58,300.37,-189.68,0.3353,0.8324
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,2021,8,0.875,-6.2,-49.63,-189.68,0.188,0.906
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,2022,7,0.8571,28.5,199.5,-154.28,0.5707,0.7146
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,2023,5,0.8,29.32,146.58,-4.1,0.3906,0.8047
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,2024,6,1.0,18.14,108.85,9.04,0.1814,0.9093
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,2025,5,0.6,-22.71,-113.53,-176.9,0.3257,0.8371
A_rsi_reset_baseline,"mean-reversion (existing, baseline)",1.3,2026,4,0.75,2.15,8.6,-123.99,0.3915,0.8042
B_sma200_breakout_baseline,"mean-reversion (existing, baseline)",1.0,ALL,7,0.7143,-31.31,-219.2,-188.49,0.2583,0.8708
B_sma200_breakout_baseline,"mean-reversion (existing, baseline)",1.0,2021,3,1.0,7.22,21.67,1.46,0.0722,0.9639
B_sma200_breakout_baseline,"mean-reversion (existing, baseline)",1.0,2022,1,1.0,62.39,62.39,62.39,0.6239,0.6881
