basket,n_tickers,n_hot_days,n_spill_obs,n_cont_obs,spill_tail_lift_pp,cont_tail_lift_pp,mean_fwd1_lift_pp
Memory/Storage,4,105,124,262,11.75340728985777,3.940504099684566,0.4274196208875567
Regional Banks,5,64,117,203,3.66048151104017,3.4337637193906714,-0.012466877267112042
Homebuilders,5,90,163,287,2.407125256287267,3.535705258472746,-0.3063931380139054
Uranium/Nuclear Fuel,5,184,320,600,0.24517913303419847,-2.1445788546736484,0.11801702512488663
Chinese ADRs,5,157,330,455,0.23791837832468216,0.8685217385926147,0.17308304456566576
Oil Majors/E&P,4,50,76,124,-0.06566059638685347,1.4515999208736634,-0.1402392458891225
Coal,4,100,154,246,-0.2147842896175936,5.430357007224066,0.15786349663416577
Solar/Clean Energy,5,183,372,538,-0.7135255028192566,2.63817389838418,0.05675087350238816
Casino/Macau Gaming,3,51,35,117,-2.0490822027134876,-1.3741710456433833,-0.314434814167911
Semi Equipment,5,140,242,453,-2.2086196642681495,1.0398154309186516,-0.2565907375832114
Steel/Metals,5,80,184,216,-2.464086193136473,3.1726385763469174,-0.3084302543439905
Airlines,5,111,193,362,-4.0349609422235115,0.37858360297099647,-0.1438855207196773
Lithium/Battery,3,81,46,183,-4.183415236886906,0.4860463535794182,-0.27211332469050686
Cruise Lines,3,111,60,273,-5.701629221182295,0.5415397344940842,-0.15396148958629893
