date,group,mu_call_vol,mu_put_vol,sndk_call_vol,sndk_put_vol,total_vol,call_skew,hyp_minus_mem_spread
2025-02-18,mem_leads,240450,104347,0,0,344797,0.6973668564401663,-0.1815660421148524
2025-03-17,baseline,107571,50745,4643,2515,165474,0.6781367465583718,-0.017228218721284085
2025-04-03,hyp_leads,250502,286300,21988,85,558875,0.48756877656005365,0.11869046064678515
2025-04-04,hyp_leads,250905,270410,29139,1161,551615,0.5076801754847131,0.12582222508695118
2025-04-21,baseline,70738,71247,29608,490,172083,0.5831255847468954,0.007437376193906574
2025-04-28,baseline,51774,67876,835,112,120597,0.43623804903936253,0.016375073655728677
2025-06-13,baseline,72501,71061,3808,2153,149523,0.5103495783257426,-0.0035614837304746346
2025-07-17,baseline,138534,119110,468,344,258456,0.537816881790324,0.02111723516436822
2025-07-21,baseline,99005,62614,1385,636,163640,0.6134808115375214,0.02110993479097951
2025-07-25,baseline,91479,67266,636,128,159509,0.5774909252769436,-0.00011794760616323785
2025-07-31,baseline,112265,92862,400,187,205714,0.5476778439970056,0.06144342335539928
2025-08-21,baseline,57988,27553,1181,746,87468,0.6764645356015915,-0.012068125499204763
2025-09-11,mem_leads,404041,207926,17427,19522,648916,0.6494954662853127,-0.11978817451311283
2025-10-28,baseline,71125,49866,12290,13671,146952,0.5676343295770048,0.0030098654009235726
2025-11-10,baseline,147164,97263,34695,34656,313778,0.5795785555392666,-0.07217343278811517
2025-11-20,hyp_leads,209843,238781,54186,61132,563942,0.46818467147330756,0.1315720280530312
2025-12-15,baseline,78462,71366,11627,9128,170583,0.5281241389821963,0.008231281389942557
2026-01-02,mem_leads,386002,327681,44650,33964,792297,0.5435486944920908,-0.14121715760602388
2026-01-06,mem_leads,353600,243314,82073,80669,759656,0.5735135377065409,-0.17841109430757934
2026-01-07,baseline,180339,152358,60649,57598,450944,0.5344078200397389,0.0029346343657079554
2026-02-04,hyp_leads,373307,287765,110147,109606,880825,0.5488649845315471,0.10339181933145966
2026-02-09,baseline,146487,164041,51572,42493,404593,0.4895265118279357,0.05598566581788404
2026-03-20,baseline,475284,418891,125981,107571,1127727,0.533165384884817,0.04172310445601113
2026-03-31,baseline,427837,322518,91071,83342,924768,0.5611223571749887,-0.03068751515688732
2026-04-24,baseline,513977,350185,154332,117610,1136104,0.5882463225197693,-0.030467102674739465
2026-05-01,baseline,541315,342747,226133,185731,1295926,0.5922004805829962,-0.04743319141976836
2026-05-06,baseline,411288,295292,100180,103822,910582,0.5616935103043987,-0.0026723664904525282
2026-05-08,mem_leads,896342,680695,229372,163117,1969526,0.571565950386032,-0.16153331389816725
2026-05-26,mem_leads,708961,570892,81370,103442,1464665,0.5395984747365439,-0.131142652965218
2026-05-29,baseline,658330,630526,86525,99350,1474731,0.5050785533090442,-0.017729364325107567
2026-06-01,baseline,375960,407157,41739,77215,902071,0.4630444831947818,-0.047583411139445156
2026-06-11,mem_leads,402180,347889,91121,96484,937674,0.5260900910124414,-0.14855118704832082
2026-06-22,baseline,276707,257144,60312,74378,668541,0.5041111913854199,-0.09494771602747587
2026-06-23,hyp_leads,295511,304164,61581,67988,729244,0.4896742379779607,0.12486853717475435
2026-06-25,mem_leads,650921,704941,99085,137103,1592050,0.47109450080085424,-0.21430916056682742
2026-06-26,hyp_leads,564780,586079,102525,127065,1380449,0.48339706863491516,0.09608457244994514
2026-07-01,hyp_leads,411969,459041,82484,89525,1043019,0.4740594370764099,0.1290559864106543
2026-07-15,hyp_leads,606309,492271,119761,105597,1323938,0.5484169198255507,0.11191006355544683
2026-07-21,mem_leads,430193,523876,80780,92872,1127721,0.4531023187472788,-0.13045390734221715
2026-07-28,hyp_leads,368912,318881,108348,108705,904846,0.527448869752422,0.12154487885847365
2026-07-30,mem_leads,478104,434629,156542,137727,1207002,0.5258036026452317,-0.18397206387413606
2026-07-31,hyp_leads,672510,593056,177498,154730,1597794,0.5319884791155806,0.11528679714340254
